epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,is_construction,group_index,type_id,owner_signature_id,count,owner_capacity,owner_required,planned_owner_equivalent,filled_owner,owner_openings,employee_required,employee_filled,wage_suspended,capacity_q16,purchase_intent_capacity_q16,realized_profit_margin_q16,severe_loss_cycles,recovery_cycles,operating_state,last_input,last_output,last_sold,last_discarded,last_retained,last_resource,last_resource_generated,last_revenue,last_input_cost,last_wages_paid,last_wages_due,last_expected_revenue,last_operating_cost,last_margin_gap_q16,planned_utilization_q16,last_base_wages_due,last_base_wages_paid,last_bonus_due,last_bonus_paid,owner_living_cost_per_day,owner_livelihood_required,viability_operating_cost,viability_income_gap,construction_ready_days
1,1,6,1227,17,20,-37,0,0,30,9,2,2,2,2,2,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020480,0,65536,65536,0,0,0,0,12497,124970,124970,-124970,
1,1,6,1227,17,20,-37,0,1,65,9,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,19635,19635,0,0,980,0,78540,0,0,0,78540,0,9831,65536,0,0,0,0,12497,62485,62485,16055,
1,1,6,1227,17,20,-37,0,2,69,9,24,48,48,48,48,0,0,0,0,65536,65536,0,0,0,0,0,840000,781700,0,58300,0,0,3908500,0,0,0,4200000,0,22243,65536,0,0,0,0,12497,2999280,2999280,909220,
1,1,6,1227,17,20,-37,0,3,79,2,1,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,-56149,65536,0,0,0,0,16926,84630,84630,-84630,
1,1,6,1227,17,20,-37,0,4,90,2,3,3,3,3,3,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29700,0,-58720,65536,0,0,0,0,16926,253890,253890,-253890,
1,1,6,1227,17,20,-37,0,5,106,20,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65536,65536,0,0,0,0,18653,93265,93265,-93265,
1,1,6,1227,17,20,-37,0,6,203,20,1,1,1,1,1,0,1,1,0,65536,65536,65536,0,0,0,0,500,500,0,0,250,0,400000,0,242500,242500,400000,242500,13322,65536,200000,200000,42500,42500,18653,93265,293265,106735,
1,1,6,1227,17,20,-37,0,7,238,12,12,24,24,24,24,0,0,0,0,32768,65536,0,0,0,0,0,113880,64440,0,49440,21450,0,672960,0,0,0,2334720,0,21088,65536,0,0,0,0,13412,1609440,1609440,-936480,
1,1,6,1227,17,20,-37,0,8,242,20,1,1,1,1,1,0,2,2,0,65536,65536,36864,0,0,0,0,12500,12500,0,0,2500,0,625000,0,441250,441250,625000,441250,7291,65536,400000,400000,41250,41250,18653,93265,493265,131735,
1,1,6,1227,17,20,-37,0,9,251,9,3,3,3,3,2,1,0,0,0,0,43690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271200,0,13220,65536,0,0,0,0,12497,124970,124970,-124970,
2,2,11,1227,17,20,-37,0,0,30,9,2,2,2,2,2,0,0,0,0,32768,65536,65536,0,0,0,35000,63140,63140,0,0,0,0,1266698,184345,0,0,2533420,184345,65536,65536,0,0,0,0,12905,129050,313395,953303,
2,2,11,1227,17,20,-37,0,1,65,9,1,1,1,1,1,0,0,0,0,61380,61380,0,0,0,0,0,18389,9435,8954,0,917,0,33642,0,0,0,65537,0,-1847,61380,0,0,0,0,12905,64525,64525,-30883,
2,2,11,1227,17,20,-37,0,2,69,9,24,48,48,48,48,0,0,0,0,65536,65536,0,0,0,0,0,840000,780600,0,59400,0,0,4061457,0,0,0,4332720,0,20353,65536,0,0,0,0,12905,3097200,3097200,964257,
2,2,11,1227,17,20,-37,0,3,79,2,1,1,1,1,1,0,0,0,0,65536,65536,65536,0,0,0,600,550,550,0,0,0,0,16308,3160,0,0,16330,3160,-54469,65536,0,0,0,0,17439,87195,90355,-74047,
2,2,11,1227,17,20,-37,0,4,90,2,3,3,3,3,3,0,0,0,0,65536,65536,65536,0,0,0,1500,3300,3300,0,0,0,0,36736,5532,0,0,36735,5532,-57477,65536,0,0,0,0,17439,261585,267117,-230381,
2,2,11,1227,17,20,-37,0,5,106,20,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65536,65536,0,0,0,0,19213,96065,96065,-96065,
