epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap
1,2,2,false,trade_planning,65535,2,2,6920,2400,120,261,11816,0,20240,307,96,0,3,0,154849431,18968214,42394625,0,42394625,1027330614,0,97150000,923000,68000,855000,54400000,42750000,0,0,0,68035000,0,0,8433300,-8433300,0,6090646063,930180614,930180614,0,870092409,930180614,177839529,0,19241200,ACTIVE,true,1,300865825602711187,4906466422533969655,SCAN,0,7313,0,0,1,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13493075968,0,0,0,0,0,0,0,0,0,145,0,0,0,19083886,76200,19007686,177840000,1,0,0,0,0,0,0,0,0,0,0,0
2,3,3,false,trade_planning,65535,3,3,7018,2400,120,261,11816,0,20218,319,99,0,6,0,153011785,18679215,42174345,0,42174345,1024005830,0,101200000,951500,71500,880000,57200000,44000000,0,0,0,70757500,0,0,8561200,-8561200,0,5954524711,922805830,922805830,0,850646509,922805830,176107526,0,18841300,ACTIVE,true,1,300865825602711187,4906466422533969655,SCAN,4096,7313,0,436,1,0,0,initial_topology_capture,436,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13514047488,0,0,0,0,0,0,0,0,0,144,0,0,0,18682984,77700,18605284,176108000,2,0,0,0,0,0,0,0,0,0,0,0
3,4,4,false,trade_planning,65535,4,4,7142,2400,120,261,11816,0,21041,327,124,0,3,0,159176942,19401711,43955707,0,43955707,1068750586,0,104550000,951000,76000,875000,60800000,43750000,0,0,0,72735000,0,0,9013770,-9013770,0,6174822644,964200586,964200586,0,882117626,964200586,183630571,0,19468700,ACTIVE,true,1,300865825602711187,4906466422533969655,SCAN,0,14814,0,0,2,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13555990528,0,0,0,0,0,0,0,0,0,146,0,0,0,19325414,80700,19244714,183631000,3,0,0,0,0,0,0,0,0,0,0,0
4,5,5,false,trade_planning,65535,5,5,7259,2400,120,261,11816,0,21025,363,117,0,3,0,158348209,19501409,43894107,0,43894107,1074627642,0,116250000,1050000,85000,965000,68000000,48250000,0,0,0,80790000,0,0,9005290,-9005290,0,5807872422,958377642,958377642,0,829696174,958377642,183510550,0,19463600,ACTIVE,true,1,300865825602711187,4906466422533969655,SCAN,0,18668,0,0,3,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13555990528,0,0,0,0,0,0,0,0,0,148,0,0,0,19313300,80700,19232600,183511000,4,0,0,0,0,0,0,0,0,0,0,0
5,6,6,false,trade_planning,65535,6,6,7259,2400,120,261,11816,0,20414,336,110,0,15,9001182,158036645,17115919,43127090,1786,43127090,1359677652,9041,107400000,978000,78000,900000,62400000,45000000,0,0,0,74730000,0,0,8724084,-8724084,0,3264853945,1252315801,1252315801,47190,466407834,1252268611,215879805,4397911,14599789,ACTIVE,true,1,300865825602711187,4906466422533969655,SCAN,4096,18668,0,505,3,0,0,initial_topology_capture,505,2141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12427722752,0,0,0,0,0,0,0,0,0,170,0,0,0,18997700,11317669,7680031,215894376,5,0,0,0,0,0,0,0,0,0,0,0
6,7,7,false,trade_planning,65535,7,7,7259,2400,120,261,11816,0,20240,307,96,0,14,9117018,158345491,17359533,42986232,1775,42986232,1347059615,8980,97150000,923000,68000,855000,54400000,42750000,0,0,0,68035000,0,0,8417550,-8417550,0,3343224101,1249947501,1249947501,46866,477603575,1249900635,215617095,4384225,14856975,ACTIVE,true,1,300865825602711187,4906466422533969655,SCAN,0,18674,0,0,4,0,0,initial_topology_capture,0,0,0,3302,0,32,16,7,0,0,0,0,16,0,9,0,0,0,7,7,0,0,12427722752,621064615,0,0,0,0,0,0,0,0,162,0,0,0,19241200,11495578,7745622,215630853,6,2,0,0,0,0,0,0,0,0,0,0
7,8,8,false,trade_planning,65535,8,8,7259,2400,120,261,11816,0,20218,319,99,0,12,8993148,156458778,17104231,42716888,1793,42716888,1341628450,9121,101200000,951500,71500,880000,57200000,44000000,0,0,0,70757500,0,0,8545135,-8545135,0,3294897764,1240466943,1240466943,47614,470699811,1240419329,214093045,4408266,14433034,ACTIVE,true,1,300865825602711187,4906466422533969655,SCAN,4096,18674,0,623,4,0,0,initial_topology_capture,623,2048,0,3302,0,32,16,7,0,0,0,0,16,0,9,0,0,0,7,0,0,0,12427722752,0,0,0,0,0,0,0,0,0,174,0,0,0,18841300,11300447,7540853,214107473,7,0,0,0,0,0,0,0,0,0,0,0
8,9,9,false,trade_planning,65535,9,9,7259,2400,120,261,11816,0,21041,327,124,0,10,9357796,162919922,17660828,44442715,1856,44442715,1398842877,9439,104550000,951000,76000,875000,60800000,43750000,0,0,0,72735000,0,0,8997138,-8997138,0,3433733881,1294332685,1294332685,49247,490533535,1294283438,221403210,4679780,14788920,ACTIVE,true,1,300865825602711187,4906466422533969655,SCAN,0,18675,0,0,5,0,0,initial_topology_capture,0,0,0,13589,0,120,64,39,0,0,0,0,48,0,25,0,0,0,37,32,2,0,12427722752,1679645589,0,0,0,0,0,0,0,0,184,0,0,0,19468700,11712256,7756444,221418073,8,8,0,0,0,0,0,0,0,0,0,0
9,10,10,false,trade_planning,65535,10,10,7259,2400,120,261,11816,0,21025,363,117,0,11,9258382,162120079,17609525,44339342,1853,44339342,1402030938,9410,116250000,1050000,85000,965000,68000000,48250000,0,0,0,80790000,0,0,8988721,-8988721,0,3287892525,1285820623,1285820623,49095,469699058,1285771528,222068430,4536803,14926797,ACTIVE,true,1,300865825602711187,4906466422533969655,SCAN,0,18677,0,0,6,0,0,initial_topology_capture,0,0,0,26616,0,200,108,62,0,0,0,0,80,0,46,0,0,0,60,23,0,0,12427722752,2793149615,0,0,0,0,0,0,0,0,189,0,0,0,19463600,11634914,7828686,222083671,9,9,0,0,0,0,0,0,0,0,0,0
10,11,11,false,trade_planning,65535,11,11,7259,2400,120,261,11816,0,20399,336,110,0,9,10457993,179336601,14101711,46904284,509024,46904284,1872084888,1106306,107400000,978000,78000,900000,62400000,45000000,0,0,0,74730000,0,0,14243339,-14243339,0,2714296838,1771211609,1763634357,55775,387756833,1763578582,244278925,6296350,12701350,ACTIVE,true,1,300865825602711187,4906466422533969655,SCAN,0,18680,0,0,7,0,0,initial_topology_capture,0,0,0,38325,0,272,148,84,0,0,0,0,112,0,64,0,0,0,81,22,1,0,12427722752,2768473938,0,0,0,0,0,0,0,0,203,0,0,0,18997700,12477520,6520180,244291958,10,10,0,0,0,0,0,0,0,0,0,0
