adobe_yard	manufacturing	industrial	clay;gathered_plants	adobe_brick	-	tech.adobe_making	tech.earth_building	activity.earthworking;industry.construction
advanced_chip_fab	manufacturing	industrial	semiconductors;rare_earth_metals;industrial_chemicals;precision_tools;electricity;industrial_machinery;technology_points	advanced_chips	-	tech.machine_learning	-	-
agricultural_machinery_plant	manufacturing	industrial	industrial_machinery;steam_engines;tools;cat:tools	agricultural_machinery	-	industry.machinery;tech.mechanized_agriculture	-	-
aluminum_plant	manufacturing	industrial	bauxite;electricity;tools;industrial_machinery;cat:tools	aluminum	-	industry.metals;tech.specialty_alloys	-	-
atmospheric_engine_workshop	manufacturing	industrial	coal;steel;tools;technology_points	steam_engines	-	tech.atmospheric_engine	-	-
automated_farm	agriculture	collector	fertilizer;agricultural_machinery;electricity;computers;autonomous_systems	grain;vegetables	arable_land;fertile_soil	industry.food;tech.automated_agriculture	-	activity.farming;industry.food
automobiles_plant	manufacturing	industrial	engines;steel;batteries;latex;tools;electricity;industrial_machinery;technology_points;cat:tools	automobiles	-	industry.machinery;tech.internal_combustion	-	-
autonomous_systems_plant	manufacturing	industrial	advanced_chips;electric_motor;batteries;precision_tools;electricity;industrial_machinery;technology_points	autonomous_systems	-	tech.autonomous_systems	-	-
bakery	manufacturing	industrial	wheat_grain	bread	-	industry.food;tech.grain_baking	-	-
bark_paper_workshop	manufacturing	industrial	logs;tools	paper	-	industry.forestry;tech.bark_paper_making	tech.writing;tech.deadwood_collection	-
basic_electrical_equipment_works	manufacturing	industrial	insulated_cable;steel;plastics;tools;electricity;industrial_machinery;cat:tools	electrical_equipment	-	tech.electrification	-	-
basic_semiconductor_fab	manufacturing	industrial	silica_sand;copper;industrial_chemicals;precision_tools;electricity;industrial_machinery;technology_points	semiconductors	-	tech.semiconductor_manufacturing	tech.digital_computing	-
bast_fiber_camp	extractive	collector	-	bast_fiber	fertile_soil	tech.wild_flax_collection	-	activity.gathering;industry.textile;starter.clothing_input
bast_wrap_shelter	manufacturing	industrial	bast_fiber	clothing	-	tech.wild_flax_collection	-	activity.textile;starter.clothing
batteries_plant	manufacturing	industrial	lead;industrial_chemicals;tools;electricity;industrial_machinery;cat:tools	batteries	-	industry.machinery;tech.electrochemistry	-	-
bauxite_collector	extractive	collector	tools;explosives;cat:tools	bauxite	bauxite	industry.primary;tech.deep_geophysics	-	-
beverages_plant	manufacturing	industrial	grain;packaging;tools;electricity;industrial_machinery;cat:tools	beverages	-	industry.food;tech.corporate_management	-	-
bloomery	manufacturing	industrial	iron_ore;charcoal	wrought_iron	-	tech.iron_smelting	tech.surface_iron_collection;tech.charcoal_burning	activity.metalworking
bread_plant	manufacturing	industrial	wheat_grain;packaging;tools;cat:tools	bread	-	industry.food;tech.grain_baking	tech.assembly_line;tech.industrial_organization	-
