epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,is_construction,group_index,type_id,owner_signature_id,count,owner_capacity,owner_required,planned_owner_equivalent,filled_owner,owner_openings,employee_required,employee_filled,wage_suspended,capacity_q16,purchase_intent_capacity_q16,realized_profit_margin_q16,severe_loss_cycles,recovery_cycles,operating_state,last_input,last_output,last_sold,last_discarded,last_retained,last_resource,last_resource_generated,last_revenue,last_input_cost,last_wages_paid,last_wages_due,last_expected_revenue,last_operating_cost,last_margin_gap_q16,planned_utilization_q16,last_base_wages_due,last_base_wages_paid,last_bonus_due,last_bonus_paid,construction_ready_days
1,1,5,1227,17,20,-37,0,0,30,9,1,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137090,0,65536,65536,0,0,0,0,
1,1,5,1227,17,20,-37,0,1,65,9,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,19635,19635,0,0,980,0,74590,0,0,0,74590,0,65536,65536,0,0,0,0,
1,1,5,1227,17,20,-37,0,2,69,9,24,48,48,48,48,0,0,0,0,65536,65536,0,0,0,0,0,840000,776200,0,63800,0,0,3686170,0,0,0,3989160,0,65536,65536,0,0,0,0,
1,1,5,1227,17,20,-37,0,3,79,2,2,2,2,2,2,0,0,0,0,65536,65536,0,0,0,0,0,9000,9000,0,0,0,0,205191,0,0,0,205190,0,65536,65536,0,0,0,0,
1,1,5,1227,17,20,-37,0,4,90,2,1,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176280,0,65536,65536,0,0,0,0,
1,1,5,1227,17,20,-37,0,5,98,2,1,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163805,0,65536,65536,0,0,0,0,
1,1,5,1227,17,20,-37,0,6,106,20,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,0,
1,1,5,1227,17,20,-37,0,7,203,20,1,1,1,1,1,0,2,2,0,65536,65536,65536,0,0,0,0,500,500,0,0,250,0,400000,0,171250,171250,400000,171250,65536,65536,100000,100000,71250,71250,
1,1,5,1227,17,20,-37,0,8,238,12,24,48,48,48,48,0,0,0,0,32768,65536,0,0,0,0,0,227760,128880,0,98880,42900,0,1278448,0,0,0,4435320,0,65536,65536,0,0,0,0,
1,1,5,1227,17,20,-37,0,9,239,9,1,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85870,0,65536,65536,0,0,0,0,
