epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap
1,2,2,false,trade_planning,65535,2,2,5588,2400,120,261,9437,0,12500,245,69,0,0,0,104587967,0,46424860,0,46424860,676931858,0,84150000,813000,58000,755000,46400000,37750000,0,0,0,59085000,0,0,4892467,-4892467,0,7986862960,592781858,592781858,0,1140980533,592781858,64814166,111000,6089750,ACTIVE,true,1,6543636573531083537,2667558916746883311,SCAN,0,6289,0,0,1,0,0,initial_topology_capture,0,0,0,4188,0,28,16,0,16,0,16,0,16,0,0,0,0,0,0,0,0,0,10737418240,0,0,0,0,0,32,30,32,0,202,0,414,0,22950960,6057694,35364,6022330,64814250,1,0,0,0,0,0,0,0,0,0,0,0
2,3,3,false,trade_planning,65535,3,3,5639,2400,120,261,9439,0,12289,217,61,0,0,0,102536452,0,45810225,0,45810225,658548208,0,75600000,732000,52000,680000,41600000,34000000,0,0,0,53100000,0,0,4817212,-4817212,0,8178245931,582948208,582948208,0,1168320954,582948208,69283413,106500,6712700,ACTIVE,true,1,6543636573531083537,2667558916746883311,SCAN,4096,6289,0,433,1,0,0,initial_topology_capture,433,2401,0,4188,0,28,16,0,16,0,16,0,16,0,0,0,0,0,0,0,0,0,10624172032,0,0,0,0,0,33,30,33,0,204,0,423,0,22958820,6679142,34744,6644398,69283500,2,0,0,0,0,0,0,0,0,0,0,0
3,4,4,false,trade_planning,65535,4,4,5680,2400,120,261,9444,0,12457,216,52,0,0,0,102140395,0,46301860,0,46301860,664759130,0,75250000,717500,52500,665000,42000000,33250000,0,0,0,52727500,0,0,5211230,-5211230,0,8620121464,589509130,589509130,0,1231446038,589509130,74809669,107500,7760150,ACTIVE,true,1,6543636573531083537,2667558916746883311,ROUTE,6289,6289,0,8,1,0,0,initial_topology_capture,8,72,0,4188,0,28,16,0,16,0,16,0,16,0,0,0,0,0,0,0,0,0,10552868864,0,0,0,0,0,37,33,37,0,224,0,452,0,25256460,7712596,35610,7676986,74809750,3,0,0,0,0,0,0,0,0,0,0,0
4,5,5,false,trade_planning,65535,5,5,5718,2400,120,261,9448,0,11042,227,48,0,0,0,88234177,0,40553110,0,40553110,589672148,0,80600000,794500,54500,740000,43600000,37000000,0,0,0,56772500,0,0,4668632,-4668632,0,7277592682,509072148,509072148,0,1039656201,509072148,63523922,105500,6418600,ACTIVE,true,1,6543636573531083537,2667558916746883311,SCAN,0,15439,0,0,2,0,0,initial_topology_capture,0,0,0,8472,0,60,16,0,48,32,16,0,16,0,0,0,0,0,0,0,0,0,10427039744,0,0,0,0,0,41,39,41,0,222,0,449,0,29853900,6372048,33004,6339044,63524000,4,0,0,0,0,0,0,0,0,0,0,0
5,6,6,false,trade_planning,65535,6,6,5653,2400,120,261,9455,0,11808,178,21,0,5,1576616,38212139,1992,44950964,1403,44950964,282552088,7008,2205000,19575,1635,17940,1308000,897000,0,0,0,44800000,0,0,3451822,-3451822,0,4384518688,280377523,280377523,37443,626359932,280340080,81732075,243688,5788412,ACTIVE,true,1,6543636573531083537,2667558916746883311,SCAN,4096,15439,0,521,2,0,0,initial_topology_capture,521,2260,0,8472,0,60,16,0,48,32,16,0,16,0,0,0,0,0,0,0,0,0,9407823872,0,0,0,0,0,88,70,88,0,225,0,479,0,49961860,5989100,2312936,3676164,81738350,5,0,0,0,0,0,0,0,0,0,0,0
6,7,7,false,trade_planning,65535,7,7,5595,2400,120,261,9466,0,12576,208,27,0,3,1474513,40594447,2041,47991543,1432,47991543,293292490,7197,2373000,22710,1650,21060,1320000,1053000,0,0,0,49000000,0,0,3604774,-3604774,0,4600333065,290950791,290950791,38498,657190551,290912293,85372600,246550,6007200,ACTIVE,true,1,6543636573531083537,2667558916746883311,SCAN,8192,15439,0,1081,2,0,0,initial_topology_capture,1081,4533,0,8472,0,60,16,0,48,32,16,0,16,0,0,0,0,0,0,0,0,0,9307160576,0,0,0,0,0,93,73,93,0,237,0,498,1,50396960,6200750,2151885,4048865,85378877,6,0,0,0,0,0,0,0,0,0,0,0
7,8,8,false,trade_planning,65535,8,8,5549,2400,120,261,9470,0,12353,177,35,0,2,1728516,40203367,1864,47422902,1403,47422902,295315088,7000,2091600,20457,1425,19032,1140000,951600,0,0,0,43400000,0,0,3541670,-3541670,0,4654155408,293253894,293253894,37406,664879451,293216488,89853065,235706,6633494,ACTIVE,true,1,6543636573531083537,2667558916746883311,SCAN,0,15439,0,0,3,0,0,initial_topology_capture,0,0,0,10462,0,92,32,12,48,32,16,0,16,0,4,0,0,0,12,12,0,0,9172942848,64411269,0,0,0,0,84,60,84,0,221,0,469,0,40951910,6819200,2531469,4287731,89859024,7,3,0,0,0,0,0,0,0,0,0,0
8,9,9,false,trade_planning,65535,9,9,5504,2400,120,261,9477,0,12521,174,25,0,5,1976513,40542662,1528,48121245,1425,48121245,304951840,7106,2100600,19737,1485,18252,1188000,912600,0,0,0,43200000,0,0,3778884,-3778884,0,4837302725,302882106,302882106,37972,691043350,302844134,96690755,231084,7671566,ACTIVE,true,1,6543636573531083537,2667558916746883311,SCAN,4096,15439,0,570,3,0,0,initial_topology_capture,570,2188,0,10462,0,92,32,12,48,32,16,0,16,0,4,0,0,0,12,0,0,0,9080668160,0,0,0,0,0,73,51,73,0,208,0,449,0,36221430,7867650,2905324,4962326,96696928,8,0,0,0,0,0,0,0,0,0,0,0
9,10,10,false,trade_planning,65535,10,10,5453,2400,120,261,9482,0,11121,169,25,0,4,1731095,35489731,1820,42323489,1378,42323489,271219275,6883,2199000,21030,1530,19500,1224000,975000,0,0,0,45400000,0,0,3381414,-3381414,0,4173815903,269050144,269050144,36752,596259527,269013392,84152740,233245,6324855,ACTIVE,true,1,6543636573531083537,2667558916746883311,SCAN,8192,15439,0,1145,3,0,0,initial_topology_capture,1145,4374,0,10462,0,92,32,12,48,32,16,0,16,0,4,0,0,0,12,0,0,0,9026142208,0,0,0,0,0,78,59,78,0,196,0,416,0,42376650,6524100,2545016,3979084,84158609,9,0,0,0,0,0,0,0,0,0,0,0
10,11,11,false,trade_planning,65535,11,11,5404,2400,120,261,9482,0,11869,125,11,0,1,1458522,29052615,137708,46761106,1240,46761106,368746962,7736,1762200,15219,1335,13884,1068000,694200,0,0,0,35600000,0,0,5424951,-5424951,0,4350435683,367017686,367017686,40660,621490917,366977026,88406435,1793349,4270320,ACTIVE,true,1,6543636573531083537,2667558916746883311,SCAN,0,15439,0,0,4,0,0,initial_topology_capture,0,0,0,14441,0,120,48,16,65,32,33,0,32,0,4,0,0,0,12,4,4,0,8963227648,28242672,0,0,0,0,60,41,60,0,184,0,413,0,27613630,6015658,2035142,3980516,88411879,10,1,0,0,0,0,0,0,0,0,0,0
