epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,resource_id,reserve
1,21,105,643,-5,16,-11,timber,51.9768
1,21,105,643,-5,16,-11,stone,4.7641834e+08
1,21,105,643,-5,16,-11,fertile_soil,3507.9673
1,21,105,643,-5,16,-11,coal,1.4922709e+08
1,21,105,643,-5,16,-11,oil,0
1,21,105,643,-5,16,-11,natural_gas,0
1,21,105,643,-5,16,-11,copper_ore,8.387522e+07
1,21,105,643,-5,16,-11,iron_ore,1.837056e+08
1,21,105,643,-5,16,-11,gold_ore,5.655649e+06
1,21,105,643,-5,16,-11,silver_ore,1.5138529e+07
1,21,105,643,-5,16,-11,salt,7198.981
1,21,105,643,-5,16,-11,saltpeter,0
1,21,105,643,-5,16,-11,rare_earth,3.9002042e+06
1,21,105,643,-5,16,-11,clay,7.323142e+06
1,21,105,643,-5,16,-11,wild_game,6797.068
1,21,105,643,-5,16,-11,marine_fish,0
1,21,105,643,-5,16,-11,arable_land,125000
1,21,105,643,-5,16,-11,paddy_land,0
1,21,105,643,-5,16,-11,plantation_land,0
1,21,105,643,-5,16,-11,pasture,125000
1,21,105,643,-5,16,-11,bauxite,0
1,21,105,643,-5,16,-11,limestone,0
1,21,105,643,-5,16,-11,silica_sand,0
1,21,105,643,-5,16,-11,phosphate_rock,0
1,21,105,643,-5,16,-11,tin_ore,0
1,21,105,643,-5,16,-11,lead_ore,0
1,21,105,643,-5,16,-11,zinc_ore,0
1,21,105,643,-5,16,-11,manganese_ore,0
1,21,105,643,-5,16,-11,sulfur,0
1,21,105,643,-5,16,-11,flint,1.0785161e+08
2,22,110,643,-5,16,-11,timber,53.48139
2,22,110,643,-5,16,-11,stone,4.7641834e+08
2,22,110,643,-5,16,-11,fertile_soil,3645.9082
2,22,110,643,-5,16,-11,coal,1.4922709e+08
2,22,110,643,-5,16,-11,oil,0
2,22,110,643,-5,16,-11,natural_gas,0
2,22,110,643,-5,16,-11,copper_ore,8.387522e+07
2,22,110,643,-5,16,-11,iron_ore,1.837056e+08
2,22,110,643,-5,16,-11,gold_ore,5.655649e+06
2,22,110,643,-5,16,-11,silver_ore,1.5138529e+07
2,22,110,643,-5,16,-11,salt,7599.342
2,22,110,643,-5,16,-11,saltpeter,0
2,22,110,643,-5,16,-11,rare_earth,3.9002042e+06
2,22,110,643,-5,16,-11,clay,7.3214105e+06
2,22,110,643,-5,16,-11,wild_game,6804.1226
2,22,110,643,-5,16,-11,marine_fish,0
2,22,110,643,-5,16,-11,arable_land,125000
2,22,110,643,-5,16,-11,paddy_land,0
2,22,110,643,-5,16,-11,plantation_land,0
2,22,110,643,-5,16,-11,pasture,125000
2,22,110,643,-5,16,-11,bauxite,0
2,22,110,643,-5,16,-11,limestone,0
2,22,110,643,-5,16,-11,silica_sand,0
2,22,110,643,-5,16,-11,phosphate_rock,0
2,22,110,643,-5,16,-11,tin_ore,0
2,22,110,643,-5,16,-11,lead_ore,0
2,22,110,643,-5,16,-11,zinc_ore,0
2,22,110,643,-5,16,-11,manganese_ore,0
2,22,110,643,-5,16,-11,sulfur,0
2,22,110,643,-5,16,-11,flint,1.0785161e+08
3,23,115,643,-5,16,-11,timber,54.923656
3,23,115,643,-5,16,-11,stone,4.7641834e+08
3,23,115,643,-5,16,-11,fertile_soil,3787.189
3,23,115,643,-5,16,-11,coal,1.4922709e+08
3,23,115,643,-5,16,-11,oil,0
3,23,115,643,-5,16,-11,natural_gas,0
3,23,115,643,-5,16,-11,copper_ore,8.387522e+07
3,23,115,643,-5,16,-11,iron_ore,1.837056e+08
3,23,115,643,-5,16,-11,gold_ore,5.655649e+06
3,23,115,643,-5,16,-11,silver_ore,1.5138529e+07
3,23,115,643,-5,16,-11,salt,7954.055
3,23,115,643,-5,16,-11,saltpeter,0
3,23,115,643,-5,16,-11,rare_earth,3.9002042e+06
3,23,115,643,-5,16,-11,clay,7.3205825e+06
3,23,115,643,-5,16,-11,wild_game,6826.742
