epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,cohort_index,handle,signature_id,profession_id,ethnicity_id,population,funds,epoch_income,epoch_expense,epoch_in_kind_income,cash_expense_coverage_q16,livelihood_coverage_q16,income_ema,satisfaction_q16,worst_need_id,is_merchant,owner_employed,employee_employed,unemployed
1,2,2,1232,22,20,-42,0,8589975168,9,9,0,42,49803587,2999568,990201,844600,198525,137307,251170,65535,10,0,42,0,0
1,2,2,1232,22,20,-42,1,8589975169,12,12,0,8,8306687,176360,109361,329600,105686,75538,8374,65535,10,0,8,0,0
1,2,2,1232,22,20,-42,2,8589975170,2,2,0,2,2024072,0,35850,0,0,0,-4481,65535,10,0,2,0,0
1,2,2,1232,22,20,-42,3,4295007875,20,20,0,3,14901580,796887,2592768,0,20142,20142,-224485,65535,10,1,3,0,0
1,2,2,1232,22,20,-42,4,12884942468,22,22,0,2,2465287,447500,42135,0,696033,696033,50670,65535,-1,0,0,2,0
2,3,3,1232,22,20,-42,0,8589975168,9,9,0,42,49803587,2999568,990201,844600,198525,137307,251170,65535,10,0,42,0,0
2,3,3,1232,22,20,-42,1,8589975169,12,12,0,8,8306687,176360,109361,329600,105686,75538,8374,65535,10,0,8,0,0
2,3,3,1232,22,20,-42,2,8589975170,2,2,0,2,2024072,0,35850,0,0,0,-4481,65535,10,0,2,0,0
2,3,3,1232,22,20,-42,3,4295007875,20,20,0,3,14901580,796887,2592768,0,20142,20142,-224485,65535,10,1,3,0,0
2,3,3,1232,22,20,-42,4,12884942468,22,22,0,2,2465287,447500,42135,0,696033,696033,50670,65535,-1,0,0,2,0
3,4,4,1232,22,20,-42,0,8589975168,9,9,0,42,49803587,2999568,990201,844600,198525,137307,251170,65535,10,0,42,0,0
3,4,4,1232,22,20,-42,1,8589975169,12,12,0,8,8306687,176360,109361,329600,105686,75538,8374,65535,10,0,8,0,0
3,4,4,1232,22,20,-42,2,8589975170,2,2,0,2,2024072,0,35850,0,0,0,-4481,65535,10,0,2,0,0
3,4,4,1232,22,20,-42,3,4295007875,20,20,0,3,14901580,796887,2592768,0,20142,20142,-224485,65535,10,1,3,0,0
3,4,4,1232,22,20,-42,4,12884942468,22,22,0,2,2465287,447500,42135,0,696033,696033,50670,65535,-1,0,0,2,0
4,5,5,1232,22,20,-42,0,8589975168,9,9,0,42,49803587,2999568,990201,844600,198525,137307,251170,65535,10,0,42,0,0
4,5,5,1232,22,20,-42,1,8589975169,12,12,0,8,8306687,176360,109361,329600,105686,75538,8374,65535,10,0,8,0,0
4,5,5,1232,22,20,-42,2,8589975170,2,2,0,2,2024072,0,35850,0,0,0,-4481,65535,10,0,2,0,0
4,5,5,1232,22,20,-42,3,4295007875,20,20,0,3,14901580,796887,2592768,0,20142,20142,-224485,65535,10,1,3,0,0
4,5,5,1232,22,20,-42,4,12884942468,22,22,0,2,2465287,447500,42135,0,696033,696033,50670,65535,-1,0,0,2,0
5,6,6,1232,22,20,-42,0,8589975168,9,9,0,42,49803587,2999568,990201,844600,198525,137307,251170,65535,10,0,42,0,0
5,6,6,1232,22,20,-42,1,8589975169,12,12,0,8,8306687,176360,109361,329600,105686,75538,8374,65535,10,0,8,0,0
5,6,6,1232,22,20,-42,2,8589975170,2,2,0,2,2024072,0,35850,0,0,0,-4481,65535,10,0,2,0,0
5,6,6,1232,22,20,-42,3,4295007875,20,20,0,3,14901580,796887,2592768,0,20142,20142,-224485,65535,10,1,3,0,0
5,6,6,1232,22,20,-42,4,12884942468,22,22,0,2,2465287,447500,42135,0,696033,696033,50670,65535,-1,0,0,2,0
6,7,7,1232,22,20,-42,0,8589975168,9,9,0,42,50572087,935314,166814,895481,367455,112946,190250,65535,10,0,42,0,0
6,7,7,1232,22,20,-42,1,8589975169,12,12,0,8,8385747,205381,126321,389982,106552,75571,13022,65535,10,0,8,0,0
6,7,7,1232,22,20,-42,2,8589975170,2,2,0,2,2093035,112395,43432,5838,169596,157266,6940,65535,10,0,2,0,0
6,7,7,1232,22,20,-42,3,4295007875,20,20,0,3,13656339,486749,1731990,0,18417,18417,-239836,65535,10,1,3,0,0
6,7,7,1232,22,20,-42,4,21474877060,22,22,0,2,2813839,847500,93583,0,593502,593502,113240,65535,-1,0,0,2,0
7,8,8,1232,22,20,-42,0,8589975168,9,9,0,42,50572087,935314,166814,895481,367455,112946,190250,65535,10,0,42,0,0
