epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,resource_id,opening_reserve,natural_net_change,natural_positive_change,natural_negative_change,artificial_change_applied,artificial_change_pending,artificial_generation_applied,artificial_extraction_applied,artificial_generation_pending,artificial_extraction_pending,reserve,safe_yield,projected_life_days
1,3,3,1323,-8,22,-14,timber,0,0,0,0,0,0,0,0,0,0,0,6246566,-1
1,3,3,1323,-8,22,-14,stone,4.6310435e+08,0,0,0,0,0,0,0,0,0,4.6310435e+08,0,1308204361
1,3,3,1323,-8,22,-14,fertile_soil,350000,0,0,0,0,0,0,0,0,0,350000,0,0
1,3,3,1323,-8,22,-14,coal,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,oil,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,natural_gas,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,copper_ore,8.277273e+07,0,0,0,0,0,0,0,0,0,8.277273e+07,0,0
1,3,3,1323,-8,22,-14,iron_ore,1.4191765e+08,0,0,0,0,0,0,0,0,0,1.4191765e+08,0,0
1,3,3,1323,-8,22,-14,gold_ore,3.9945835e+06,0,0,0,0,-0.25,0,0,0,0.25,3.9945835e+06,0,79891671
1,3,3,1323,-8,22,-14,silver_ore,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,salt,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,saltpeter,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,rare_earth,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,clay,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,wild_game,12475.192,0,0,0,0,-2.287,0,0,0,2.287,12475.192,11215,-1
1,3,3,1323,-8,22,-14,marine_fish,0,0,0,0,0,0,0,0,0,0,0,46730,-1
1,3,3,1323,-8,22,-14,arable_land,125000,0,0,0,0,0,0,0,0,0,125000,0,0
1,3,3,1323,-8,22,-14,paddy_land,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,plantation_land,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,pasture,125000,0,0,0,0,0,0,0,0,0,125000,0,0
1,3,3,1323,-8,22,-14,bauxite,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,limestone,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,silica_sand,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,phosphate_rock,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,tin_ore,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,lead_ore,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,zinc_ore,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,manganese_ore,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,sulfur,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1323,-8,22,-14,flint,2.7775838e+07,0,0,0,0,-0.98,0,0,0,0.98,2.7775838e+07,0,141713460
2,4,4,1323,-8,22,-14,timber,0,0,0,0,0,0,0,0,0,0,0,6246566,-1
2,4,4,1323,-8,22,-14,stone,4.6310435e+08,0,0,0,0,0,0,0,0,0,4.6310435e+08,0,1308204361
2,4,4,1323,-8,22,-14,fertile_soil,350000,0,0,0,0,0,0,0,0,0,350000,0,0
2,4,4,1323,-8,22,-14,coal,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,4,1323,-8,22,-14,oil,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,4,1323,-8,22,-14,natural_gas,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,4,1323,-8,22,-14,copper_ore,8.277273e+07,0,0,0,0,0,0,0,0,0,8.277273e+07,0,0
2,4,4,1323,-8,22,-14,iron_ore,1.4191765e+08,0,0,0,0,0,0,0,0,0,1.4191765e+08,0,0
