epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,is_construction,group_index,type_id,owner_signature_id,count,owner_capacity,owner_required,planned_owner_equivalent,filled_owner,owner_openings,employee_required,employee_filled,wage_suspended,capacity_q16,purchase_intent_capacity_q16,realized_profit_margin_q16,severe_loss_cycles,recovery_cycles,operating_state,last_input,last_output,last_sold,last_discarded,last_retained,last_resource,last_resource_generated,last_revenue,last_input_cost,last_wages_paid,last_wages_due,last_expected_revenue,last_operating_cost,last_margin_gap_q16,planned_utilization_q16,last_base_wages_due,last_base_wages_paid,last_bonus_due,last_bonus_paid,owner_living_cost_per_day,owner_livelihood_required,viability_operating_cost,viability_income_gap,construction_ready_days
1,1,5,978,10,16,-26,0,0,30,9,2,2,2,2,2,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020480,0,65536,65536,0,0,0,0,12491,124910,124910,-124910,
1,1,5,978,10,16,-26,0,1,65,9,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,19635,19635,0,0,980,0,78540,0,0,0,78540,0,9676,65536,0,0,0,0,12491,62455,62455,16085,
1,1,5,978,10,16,-26,0,2,69,9,24,48,48,48,48,0,0,0,0,65536,65536,0,0,0,0,0,840000,781700,0,58300,0,0,3908500,0,0,0,4200000,0,22065,65536,0,0,0,0,12491,2997840,2997840,910660,
1,1,5,978,10,16,-26,0,3,79,2,1,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,-56149,65536,0,0,0,0,16890,84450,84450,-84450,
1,1,5,978,10,16,-26,0,4,90,2,3,3,3,3,3,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29700,0,-58720,65536,0,0,0,0,16890,253350,253350,-253350,
1,1,5,978,10,16,-26,0,5,106,20,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65536,65536,0,0,0,0,18613,93065,93065,-93065,
1,1,5,978,10,16,-26,0,6,238,12,12,24,24,24,24,0,0,0,0,32768,65536,0,0,0,0,0,113880,64440,0,49440,21450,0,672960,0,0,0,2334720,0,21088,65536,0,0,0,0,13375,1605000,1605000,-932040,
1,1,5,978,10,16,-26,0,7,251,9,3,3,3,3,2,1,0,0,0,0,43690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271200,0,13079,65536,0,0,0,0,12491,124910,124910,-124910,
2,2,10,978,10,16,-26,0,0,30,9,2,2,2,2,2,0,0,0,0,32768,65536,65536,0,0,0,35000,63140,63140,0,0,0,0,1266698,182595,0,0,2533420,182595,65536,65536,0,0,0,0,12851,128510,311105,955593,
2,2,10,978,10,16,-26,0,1,65,9,1,1,1,1,1,0,0,0,0,61380,61380,0,0,0,0,0,18389,9435,8954,0,917,0,33642,0,0,0,65537,0,-1683,61380,0,0,0,0,12851,64255,64255,-30613,
2,2,10,978,10,16,-26,0,2,69,9,24,48,48,48,48,0,0,0,0,65536,65536,0,0,0,0,0,840000,780600,0,59400,0,0,4020090,0,0,0,4287360,0,19670,65536,0,0,0,0,12851,3084240,3084240,935850,
2,2,10,978,10,16,-26,0,3,79,2,1,1,1,1,1,0,0,0,0,65536,65536,65536,0,0,0,600,550,550,0,0,0,0,16304,3130,0,0,16325,3130,-54446,65536,0,0,0,0,17377,86885,90015,-73711,
