epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,is_construction,group_index,type_id,owner_signature_id,count,filled_owner,employee_required,employee_filled,wage_suspended,capacity_q16,purchase_intent_capacity_q16,realized_profit_margin_q16,severe_loss_cycles,recovery_cycles,operating_state,last_input,last_output,last_sold,last_discarded,last_retained,last_resource,last_resource_generated,last_revenue,last_input_cost,last_wages_paid,last_wages_due,last_expected_revenue,last_operating_cost,last_margin_gap_q16,planned_utilization_q16,last_base_wages_due,last_base_wages_paid,last_bonus_due,last_bonus_paid,construction_ready_days
1,3,15,666,18,16,-34,0,0,30,9,1,1,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92600,0,9719,65536,0,0,0,0,
1,3,15,666,18,16,-34,0,1,65,9,10,1,0,0,0,2048,2048,0,0,0,0,0,4687,0,4687,0,781,0,0,0,0,0,14268,0,65536,2048,0,0,0,0,
1,3,15,666,18,16,-34,0,2,69,9,24,24,0,0,0,65536,65536,0,0,0,0,0,360000,71635,248574,39791,0,0,419422,0,0,0,2107800,0,65536,65536,0,0,0,0,
1,3,15,666,18,16,-34,0,3,79,2,1,1,0,0,0,32431,32431,0,0,0,0,0,296,295,1,0,0,0,7277,0,0,0,7323,0,65536,32431,0,0,0,0,
1,3,15,666,18,16,-34,0,4,90,2,1,1,0,0,0,65536,65536,57855,0,0,0,5000,2755,2754,1,0,0,0,30172,16025,0,0,30180,16025,15407,65536,0,0,0,0,
1,3,15,666,18,16,-34,0,5,237,12,19,19,0,0,0,7922,65536,-30264,0,0,0,2296,3329,752,568,2009,5741,0,14251,26479,0,0,484215,26479,16030,65536,0,0,0,0,
1,3,15,666,18,16,-34,0,6,238,9,1,1,0,0,0,6,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100020,0,-13865,65536,0,0,0,0,
1,3,15,666,18,16,-34,0,7,241,20,1,1,0,0,0,65536,65536,0,0,0,0,0,10000,10000,0,0,2500,0,100000,0,0,0,100000,0,65536,65536,0,0,0,0,
2,4,20,666,18,16,-34,0,0,30,9,1,1,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116110,0,15033,65536,0,0,0,0,
2,4,20,666,18,16,-34,0,1,65,9,10,1,0,0,0,2048,2048,0,0,0,0,0,4687,0,4687,0,781,0,0,0,0,0,12440,0,65536,2048,0,0,0,0,
2,4,20,666,18,16,-34,0,2,69,9,24,24,0,0,0,65536,65536,0,0,0,0,0,360000,75070,246182,38748,0,0,473166,0,0,0,2269080,0,65536,65536,0,0,0,0,
2,4,20,666,18,16,-34,0,3,79,2,1,1,0,0,0,48983,48983,0,0,0,0,0,448,447,1,0,0,0,11402,0,0,0,11439,0,65536,48983,0,0,0,0,
2,4,20,666,18,16,-34,0,4,90,2,1,1,0,0,0,65536,65536,65536,0,0,0,5000,2755,2754,1,0,0,0,32651,13970,0,0,32660,13970,21751,65536,0,0,0,0,
2,4,20,666,18,16,-34,0,5,237,12,19,19,0,0,0,8091,65536,6637,1,0,0,2345,3400,1580,608,1212,5864,0,32231,29267,0,0,561355,29267,19916,65536,0,0,0,0,
2,4,20,666,18,16,-34,0,6,238,9,1,1,0,0,0,6,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100020,0,-17791,65536,0,0,0,0,
2,4,20,666,18,16,-34,0,7,241,20,1,1,0,0,0,65536,65536,0,0,0,0,0,10000,10000,0,0,2500,0,100000,0,0,0,100000,0,65536,65536,0,0,0,0,
3,5,25,666,18,16,-34,0,0,30,9,1,1,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145590,0,21959,65536,0,0,0,0,
3,5,25,666,18,16,-34,0,1,65,9,10,1,0,0,0,2048,2048,0,0,0,0,0,4687,0,4687,0,781,0,0,0,0,0,10903,0,65536,2048,0,0,0,0,
3,5,25,666,18,16,-34,0,2,69,9,24,24,0,0,0,65536,65536,0,0,0,0,0,360000,71121,251013,37866,0,0,478075,0,0,0,2419920,0,65536,65536,0,0,0,0,
3,5,25,666,18,16,-34,0,3,79,2,1,1,0,0,0,57259,57259,0,0,0,0,0,524,296,228,0,0,0,7706,0,0,0,13647,0,65536,57259,0,0,0,0,
