epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_owner_job_reallocations,building_owner_job_profession_changes,building_owner_job_probability_skips,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap,merchant_credit_budget,merchant_credit_committed,merchant_credit_drawn,merchant_credit_repaid,merchant_credit_premium_repaid,merchant_credit_outstanding,merchant_credit_bad_debt,recovery_candidates,recovery_approved,recovery_restarted,recovery_failed,recovery_liquidated_buildings,trade_active_keys_pruned,trade_deficit_episodes_started,trade_deficit_episodes_resolved,trade_candidates_stale_generation,trade_candidates_arbitrated_out,trade_true_source_stock_failures,merchant_cash,merchant_inventory_retail_value,merchant_inventory_liquidation_value,merchant_economic_assets,merchant_procurement_margin_value,merchant_trade_purchase_cash,merchant_trade_sale_cash,merchant_operating_outflow,merchant_liquidity_coverage_q16,merchant_effective_buy_factor_q16,building_investment_buildings_started,building_investment_portfolios_started,building_investment_types_started,building_investment_owner_population_moved,building_investment_max_type_owner_share_q16,building_investment_demand_limited,building_investment_material_limited,building_investment_capital_limited,building_investment_owner_population_limited,recovery_partially_liquidated_buildings,recovery_fully_liquidated_groups
1,3,3,false,trade_planning,65535,3,3,4744,2400,120,261,9644,0,614876,0,46599,231,93,607052111,13923358839,90569,2018342691,1155,2018342691,99893666264,5028,5057395600,56177987,2997995,53179992,2398396000,2658999600,0,0,0,2449381429,0,62902848,89697540,-26794692,0,381057584416,94836290726,94836290726,25090,54436797870,94836265636,17300261181,567438397,1434887103,ACTIVE,true,1,7807461096362226339,7725447737348676331,SCAN,4096,5407,0,744,1,0,0,initial_topology_capture,744,2361,0,7243,0,41,28,5,0,0,0,0,15,0,0,0,0,0,5,0,0,0,420931960832,0,0,0,0,6443750,188,177,97,66,56,178,0,421,1,0,0,3212177673,1964167530,891022798,1073144732,17295011850,2,0,0,0,0,0,0,0,0,0,0,0,105065068857,0,0,0,0,0,0,0,0,0,0,0,0,1819,0,0,0,0,1812956613592,220528328010,209501233876,2022457847468,5005979991,0,0,94836265636,1252832,62259,4865,66,178,6514,65536,474,0,14,355,0,0
2,4,4,false,trade_planning,65535,4,4,4742,2400,120,261,9728,0,548718,0,43097,189,87,542950004,12583323155,70288,1814415217,1092,1814415217,88731428633,4789,3752798100,47590977,1830999,45759978,1464799200,2287998900,0,0,0,1851198975,0,53723224,76390267,-22667043,0,339789211110,84978649626,84978649626,23882,48541315972,84978625744,15482019304,507446877,1303363323,ACTIVE,true,1,7807461096362226339,7725447737348676331,ROUTE,5407,5407,0,21,1,0,0,initial_topology_capture,21,91,0,7243,0,41,28,5,0,0,0,0,15,0,0,0,0,0,4,0,1,0,537219039232,0,0,0,0,8369500,184,175,79,60,59,178,0,510,0,0,0,4166230017,1765677277,796625346,969051931,15476619850,3,0,0,0,0,0,0,0,0,0,0,0,93750954706,0,0,0,0,0,0,0,0,0,0,0,0,1812,0,0,0,0,1766648317823,276880819913,263035929599,2029684247422,4485755301,0,8081,84978625744,1362449,62259,6432,66,178,8588,65536,476,66,4,361,0,0
3,5,5,false,trade_planning,65535,5,5,4732,2400,120,261,9809,0,529651,0,39567,182,86,524043560,12205696804,71885,1752903117,1019,1752903117,84719743504,4427,2588696600,24413992,1823996,22589996,1459196800,1129499800,0,0,0,1229002891,0,52898985,69701453,-16802468,0,328316348966,82131064554,82131064554,22077,46902335657,82131042477,15027423654,492117348,1268415552,ACTIVE,true,1,7807461096362226339,7725447737348676331,SCAN,0,13836,0,0,2,0,0,initial_topology_capture,0,0,0,14058,0,73,52,11,4,0,4,0,15,0,0,0,0,0,7,6,3,0,636741484544,1472199,0,0,0,8421500,180,173,92,69,65,176,0,530,1,0,0,4084073090,1713759232,769040649,944718583,15019624325,4,4,0,0,0,0,0,0,0,0,0,0,90657774930,0,0,0,0,0,0,0,0,0,0,0,633,1674,3,0,18,0,1720889279759,331578559644,314998615752,2035887895511,4335509347,40603,25387,82131083080,1373173,62259,6125,65,176,8356,65536,468,98,4,344,0,0
4,6,6,false,trade_planning,65535,6,6,4743,2400,120,261,9888,0,559686,0,37993,197,164,223904072,5484141049,114,1871134429,1261,1871134429,46623593908,3153,4229394950,43967914,2707999,41259915,2166399200,2062995750,0,0,0,2031195814,0,48477433,63000736,-14523303,0,286944105526,42394212704,42394212704,16899,40992015180,42394195805,4260433382,226509545,19585354,ACTIVE,true,1,7807461096362226339,7725447737348676331,SCAN,4096,13836,0,661,2,0,0,initial_topology_capture,661,2370,0,14058,0,73,52,11,4,0,4,0,15,0,0,0,0,0,6,0,1,0,623755919360,0,0,0,0,14809250,211,198,116,59,18,200,0,539,0,0,1,4210600618,333968217,322506562,11461655,2744676093,5,0,0,0,0,0,0,0,0,0,0,0,81713970314,0,0,0,0,0,0,0,0,0,0,0,0,5,387,0,0,0,1705605959929,394002940705,374301587120,2079907547049,2234395054,0,7135,42394195805,2636648,62259,6252,76,200,8448,65536,279,134,0,233,0,0
5,7,7,false,trade_planning,65535,7,7,4755,2400,120,261,9968,0,632085,0,44716,223,205,252968127,6150962247,220,2095907266,1206,2095907266,53965747085,2991,5993196100,85228937,2308999,82919938,1847199200,4145996900,0,0,0,3008944753,0,65619685,76782851,-11163166,0,332147433721,47972563996,47972563996,16002,47449633486,47972547994,4980496698,256594502,21562045,ACTIVE,true,1,7807461096362226339,7725447737348676331,SCAN,8192,13836,0,1545,2,0,0,initial_topology_capture,1545,4564,0,14058,0,73,52,11,4,0,4,0,15,0,0,0,0,0,4,0,2,0,623630090240,0,0,0,0,17037250,205,192,124,76,27,197,0,543,0,0,4,4827939572,379790342,366468313,13322029,3135382379,6,0,0,0,0,0,0,0,0,0,0,0,94227905905,0,0,0,0,0,0,0,0,0,0,0,0,5,319,0,0,0,1691267161899,478033512355,454130373655,2145397535554,2528353434,0,16162,47972547994,2310464,62259,7124,78,197,9776,65536,262,100,8,250,0,0
6,8,8,false,trade_planning,65535,8,8,4777,2400,120,261,10065,0,615712,0,45779,211,195,247995157,5991284886,120,2046829071,1313,2046829071,51895419658,3429,4964496050,55789921,2900000,52889921,2320000000,2644496050,0,0,0,2408059005,0,64096912,72113822,-8016910,0,326243355269,46930938435,46930938435,18256,46606193716,46930920179,4835388242,251583235,22000904,ACTIVE,true,1,7807461096362226339,7725447737348676331,SCAN,12288,13836,0,2353,2,0,0,initial_topology_capture,2353,6787,0,14058,0,73,52,11,4,0,4,0,15,0,0,0,0,0,3,0,1,0,608236994560,0,0,0,0,19920250,255,231,147,95,37,242,0,573,0,0,4,5785451194,371751437,359168518,12582919,3019007423,7,0,0,0,0,0,0,0,0,0,0,0,92888545414,0,0,0,0,0,0,0,0,0,0,0,0,5,340,0,0,0,1674398647886,553039859962,525386174871,2199784822757,2473440983,0,8081,46930920179,2338189,62259,8516,90,242,11943,65536,312,118,3,331,0,0
7,9,9,false,trade_planning,65535,9,9,4800,2400,120,261,10162,0,558768,0,33059,181,169,225010801,5435571314,161,1850630968,1213,1850630968,45941419060,3029,3608197600,45628982,1768998,43859984,1415198400,2192999200,0,0,0,1779138774,0,55436416,63121179,-7684763,0,289644267686,42333234585,42333234585,16154,41377752631,42333218431,4372535661,227286155,19183830,ACTIVE,true,1,7807461096362226339,7725447737348676331,ROUTE,13836,13836,0,23,2,0,0,initial_topology_capture,23,88,0,14058,0,73,52,11,4,0,4,0,15,0,0,0,0,0,1,0,2,0,591606579200,0,0,0,0,11006250,199,181,123,63,30,188,0,661,0,0,3,3399509703,336967315,325391477,11575838,2777067312,8,0,0,0,0,0,0,0,0,0,0,0,82173878725,0,0,0,0,0,0,0,0,0,0,0,0,5,324,0,0,0,1661038915376,618656789553,587722057628,2248760973004,2231111365,0,14340,42333218431,2571452,62259,5081,82,188,6821,65536,330,53,8,178,0,0
8,10,10,false,trade_planning,65535,10,10,4829,2400,120,261,10249,0,538650,0,30581,173,160,218553871,5291511988,154,1787482142,1174,1787482142,43640841705,3089,2398896500,22957945,1667999,21289946,1334399200,1064497300,0,0,0,1140797781,0,55165911,59348107,-4182196,0,279090914503,41241958567,41241958567,16451,39870130740,41241942116,4189767305,218842088,19190037,ACTIVE,true,1,7807461096362226339,7725447737348676331,SCAN,0,13522,0,0,3,0,0,initial_topology_capture,0,0,0,29550,0,205,117,24,31,21,10,0,15,0,0,0,0,0,14,13,0,0,593816977408,10312543,0,0,0,10951750,188,166,137,83,50,177,0,490,0,0,1,3325267676,326587202,316330122,10257080,2594644347,9,9,0,0,0,0,0,0,0,0,0,0,79218019198,0,0,0,0,0,0,0,0,0,0,0,1591,7,318,0,52,0,1647079663955,678465814842,644540449050,2291620113005,2173627920,61877,0,41242003993,2617307,62259,5012,72,177,6795,65536,326,61,9,163,0,0
9,11,11,false,trade_planning,65535,11,11,4846,2400,120,261,10261,0,571067,0,26622,210,200,404888418,3256779690,235618354,1898410772,9920438,1898410772,111307012801,666044960,4228297000,43975955,2705999,41269956,2164799200,2063497800,0,0,0,2030778828,0,46174494,60382040,-14207546,0,275603051451,134112943320,106413138942,468101,39371864595,106412670841,5461735477,400225343,16801600,ACTIVE,true,1,7807461096362226339,7725447737348676331,SCAN,4096,13522,0,1029,3,0,0,initial_topology_capture,1029,2179,0,29550,0,205,117,24,31,21,10,0,15,0,0,0,0,0,11,0,3,0,597986115584,0,0,0,0,6387000,166,145,124,79,40,148,0,536,0,0,1,2332398394,605151012,601987563,3163449,2443046367,10,0,0,0,0,0,0,0,0,0,0,0,77893129060,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,0,1636994126731,696563929946,661733603245,2298727729976,5602631702,0,12531,106412670841,1008169,62259,3502,64,148,4815,65536,251,14,13,192,0,0
10,12,12,false,trade_planning,65535,12,12,4867,2400,120,261,10273,0,642323,0,34576,324,226,460284230,3744225158,244081071,2127788108,5430096,2127788108,163851770849,613307049,5987596800,85146951,2306999,82839952,1845599200,4141997600,0,0,0,3006119925,0,58646755,73386638,-14739883,0,320917613361,200346976861,157251569983,702983,45845373437,157250867000,6300017168,460726007,12183959,ACTIVE,true,1,7807461096362226339,7725447737348676331,SCAN,8192,13522,0,2025,3,0,0,initial_topology_capture,2025,4379,0,29550,0,205,117,24,31,21,10,0,15,0,0,0,0,0,10,0,1,0,617313468416,0,0,0,0,14509250,200,168,123,88,43,176,0,428,0,0,1,4326649445,686535032,686182569,352463,2713738587,11,0,0,0,0,0,0,0,0,0,0,0,90643209572,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,1621078456441,728167198918,691756612366,2312835068807,8278615671,0,2306,157250867000,675601,62259,6314,66,176,8922,65536,264,40,30,244,0,0
