epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,is_construction,group_index,type_id,owner_signature_id,count,owner_capacity,owner_required,planned_owner_equivalent,filled_owner,owner_openings,employee_required,employee_filled,wage_suspended,capacity_q16,purchase_intent_capacity_q16,realized_profit_margin_q16,severe_loss_cycles,recovery_cycles,operating_state,last_input,last_output,last_sold,last_discarded,last_retained,last_resource,last_resource_generated,last_revenue,last_input_cost,last_wages_paid,last_wages_due,last_expected_revenue,last_operating_cost,last_margin_gap_q16,planned_utilization_q16,last_base_wages_due,last_base_wages_paid,last_bonus_due,last_bonus_paid,owner_living_cost_per_day,owner_livelihood_required,viability_operating_cost,viability_income_gap,projected_owner_income_per_day,construction_ready_days,funded_capacity_q16,owner_working_capital_allocated,investment_score_q16,investment_payback_days,investment_rejection_reason,merchant_debt_principal,merchant_debt_premium,merchant_debt_term_cycles_left,merchant_debt_delinquent_cycles,last_in_kind_livelihood_value,recovery_failed_reviews
1,3,3,1338,7,22,-29,0,0,65,9,1,1,1,1,1,0,0,0,0,65536,65536,17342,0,0,0,0,19635,19635,0,0,980,0,78540,0,0,0,78540,0,9831,65536,0,0,0,0,12421,62105,62105,16435,15708,,0,0,0,0,0,0,0,0,0,0,0
1,3,3,1338,7,22,-29,0,1,70,9,4,8,8,8,8,0,0,0,0,65536,65536,42750,0,0,0,0,140000,102920,0,37080,0,0,514600,0,0,0,700000,0,22243,65536,0,0,0,0,12421,496840,496840,17760,22135,,0,0,0,0,0,0,0,0,0,185400,0
1,3,3,1338,7,22,-29,0,2,91,2,1,1,1,1,1,0,0,0,0,0,65536,-65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82500,0,-265,65536,0,0,0,0,14598,72990,72990,-72990,16100,,65536,0,0,0,0,0,0,0,0,0,0
1,3,3,1338,7,22,-29,0,3,107,20,1,1,1,1,1,0,0,0,0,65536,65536,-65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65536,65536,0,0,0,0,18531,92655,92655,-92655,0,,65536,0,0,0,0,0,0,0,0,0,0
1,3,3,1338,7,22,-29,0,4,239,12,6,12,12,12,12,0,0,0,0,32768,65536,-8420,0,0,0,0,74025,24585,0,49440,10725,0,264540,0,0,0,1517880,0,44468,65536,0,0,0,0,13299,797940,797940,-533400,33163,,0,2000,0,0,0,0,0,0,0,494400,0
2,4,4,1338,7,22,-29,0,0,65,9,1,1,1,1,1,0,0,0,0,65536,65536,17342,0,0,0,0,19635,19635,0,0,980,0,78540,0,0,0,78540,0,9831,65536,0,0,0,0,12421,62105,62105,16435,15708,,65536,0,0,0,0,0,0,0,0,0,0
2,4,4,1338,7,22,-29,0,1,70,9,4,8,8,8,8,0,0,0,0,65536,65536,42750,0,0,0,0,140000,102920,0,37080,0,0,514600,0,0,0,700000,0,22243,65536,0,0,0,0,12421,496840,496840,17760,22135,,65536,0,0,0,0,0,0,0,0,185400,0
2,4,4,1338,7,22,-29,0,2,91,2,1,1,1,1,1,0,0,0,0,0,65536,-65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82500,0,-265,65536,0,0,0,0,14598,72990,72990,-72990,16100,,0,2000,0,0,0,0,0,0,0,0,0
2,4,4,1338,7,22,-29,0,3,107,20,1,1,1,1,1,0,0,0,0,65536,65536,-65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65536,65536,0,0,0,0,18531,92655,92655,-92655,0,,65536,0,0,0,0,0,0,0,0,0,0
2,4,4,1338,7,22,-29,0,4,239,12,6,12,12,12,12,0,0,0,0,32768,65536,-8420,0,0,0,0,74025,24585,0,49440,10725,0,264540,0,0,0,1517880,0,44468,65536,0,0,0,0,13299,797940,797940,-533400,33163,,65536,0,0,0,0,0,0,0,0,494400,0
