epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap
1,2,2,false,trade_planning,65535,2,2,6435,2400,120,261,10311,0,18502,329,97,0,2,0,159089928,3848874,38438453,0,38438453,1026369647,0,104000000,992500,72500,920000,58000000,46000000,0,0,0,72882500,0,0,7424230,-7424230,0,4736622462,922369647,922369647,0,676660465,922369647,80345556,0,4643600,ACTIVE,true,1,5983693453056056971,8883043164895179651,SCAN,0,7006,0,0,1,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12717129728,0,0,0,0,0,0,0,0,0,153,0,0,0,0,4495304,73200,4422104,80346000,1,0,0,0,0,0,0,0,0,0,0,0
2,3,3,false,trade_planning,65535,3,3,6549,2400,120,261,10311,0,18617,291,115,0,5,0,161104346,3804068,38774626,0,38774626,1022133432,0,90900000,910500,60500,850000,48400000,42500000,0,0,0,64192500,0,0,7368620,-7368620,0,5042178773,931233432,931233432,0,720311377,931233432,81191613,0,4591000,ACTIVE,true,1,5983693453056056971,8883043164895179651,SCAN,4096,7006,0,424,1,0,0,initial_topology_capture,424,2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12721324032,0,0,0,0,0,0,0,0,0,142,0,0,0,0,4461742,73500,4388242,81192000,2,0,0,0,0,0,0,0,0,0,0,0
3,4,4,false,trade_planning,65535,4,4,6659,2400,120,261,10311,0,19976,289,113,0,5,0,173878407,4489896,41768497,0,41768497,1100523887,0,90500000,872500,62500,810000,50000000,40500000,0,0,0,63522500,0,0,8013410,-8013410,0,5626744680,1010023887,1010023887,0,803820804,1010023887,88392580,0,5341900,ACTIVE,true,1,5983693453056056971,8883043164895179651,ROUTE,7006,7006,0,8,1,0,0,initial_topology_capture,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12767461376,0,0,0,0,0,0,0,0,0,140,0,0,0,0,5201620,76800,5124820,88393000,3,0,0,0,0,0,0,0,0,0,0,0
4,5,5,false,trade_planning,65535,5,5,6756,2400,120,261,10311,0,19315,317,99,0,9,0,167311630,3761646,40176144,0,40176144,1068050860,0,101750000,910000,75000,835000,60000000,41750000,0,0,0,70610000,0,0,7649210,-7649210,0,5225994038,966300860,966300860,0,746570705,966300860,82202535,0,4637800,ACTIVE,true,1,5983693453056056971,8883043164895179651,SCAN,0,17723,0,0,2,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12763267072,0,0,0,0,0,0,0,0,0,146,0,0,0,0,4482490,76500,4405990,82203000,4,0,0,0,0,0,0,0,0,0,0,0
5,6,6,false,trade_planning,65535,6,6,6756,2400,120,261,10311,0,18415,316,112,0,8,2771523,76820750,2679842,38968877,1444,38968877,607851034,7703,3078000,28710,2190,26520,1752000,1326000,0,0,0,63200000,0,0,5953527,-5953527,0,2603692156,604805773,604805773,40442,371956115,604765331,103864525,2561010,1342490,ACTIVE,true,1,5983693453056056971,8883043164895179651,SCAN,0,17727,0,0,3,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11693719552,0,0,0,0,0,0,0,0,0,144,0,0,0,0,3903500,2891076,1012424,103878486,5,0,0,0,0,0,0,0,0,0,0,0
6,7,7,false,trade_planning,65535,7,7,6756,2400,120,261,10311,0,18502,329,97,0,12,3468421,76476291,3411762,39023120,1448,39023120,625247044,7754,3175200,30879,2175,28704,1740000,1435200,0,0,0,65800000,0,0,6142885,-6142885,0,2605650448,622104786,622104786,40696,372235877,622064090,108739810,3232388,1411212,ACTIVE,true,1,5983693453056056971,8883043164895179651,SCAN,4096,17727,0,608,3,0,0,initial_topology_capture,608,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11693719552,0,0,0,0,0,0,0,0,0,148,0,0,0,0,4643600,3600709,1042891,108753766,6,0,0,0,0,0,0,0,0,0,0,0
7,8,8,false,trade_planning,65535,8,8,6756,2400,120,261,10311,0,18617,291,115,0,17,3419648,77380998,3319978,39371709,1467,39371709,629316741,7834,2778000,28335,1815,26520,1452000,1326000,0,0,0,58200000,0,0,6133166,-6133166,0,2734665069,626572050,626572050,41143,390666535,626530907,108081315,3182531,1408469,ACTIVE,true,1,5983693453056056971,8883043164895179651,SCAN,8192,17727,0,1267,3,0,0,initial_topology_capture,1267,4100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11693719552,0,0,0,0,0,0,0,0,0,159,0,0,0,0,4591000,3551879,1039121,108094891,7,0,0,0,0,0,0,0,0,0,0,0
8,9,9,false,trade_planning,65535,9,9,6756,2400,120,261,10311,0,19976,289,113,0,11,3991974,83596523,3981355,42449746,1558,42449746,682670701,8260,3263600,37147,1875,35272,1500000,1763600,0,0,0,57810000,0,0,6581051,-6581051,0,3008312375,679442230,679442230,43389,429759009,679398841,117183420,3738862,1603038,ACTIVE,true,1,5983693453056056971,8883043164895179651,ROUTE,17727,17727,0,16,3,0,0,initial_topology_capture,16,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11693719552,0,0,0,0,0,0,0,0,0,177,0,0,0,0,5341900,4130695,1211205,117197136,8,0,0,0,0,0,0,0,0,0,0,0
9,10,10,false,trade_planning,65535,10,10,6756,2400,120,261,10311,0,19315,317,99,0,17,3338536,80291105,3280613,40880721,1525,40880721,647346897,8165,3102600,28302,2250,26052,1800000,1302600,0,0,0,63400000,0,0,6375743,-6375743,0,2822997592,644278924,644278924,42792,403285472,644236132,111745795,3084299,1553501,ACTIVE,true,1,5983693453056056971,8883043164895179651,SCAN,0,17728,0,0,4,0,0,initial_topology_capture,0,0,0,6484,0,80,48,28,0,0,0,0,32,0,20,0,0,0,28,28,0,0,11693719552,1199705083,0,0,0,0,0,0,0,0,171,0,0,0,0,4637800,3480210,1157590,111759724,9,9,0,0,0,0,0,0,0,0,0,0
10,11,11,false,trade_planning,65535,11,11,6756,2400,120,261,10311,0,18407,316,112,0,10,3223195,63659513,1609049,43143421,58729,43143421,825467732,184276,3078000,28710,2190,26520,1752000,1326000,0,0,0,63200000,0,0,11060750,-11060750,0,2298459433,823121265,822241766,36310,328351469,822205456,112448011,3104155,1060719,ACTIVE,true,1,5983693453056056971,8883043164895179651,SCAN,4096,17728,0,777,4,0,0,initial_topology_capture,777,2017,0,6484,0,80,48,28,0,0,0,0,32,0,20,0,0,0,28,0,0,0,11693719552,0,0,0,0,0,0,0,0,0,248,0,0,0,0,3580353,3224377,355976,112458192,10,0,0,0,0,0,0,0,0,0,0,0
