epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,production_output_stock,production_output_discarded,production_output_retained,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_reserved,merchant_procurement_spent,trade_runtime_mode,trade_topology_ready,population_error,money_error,goods_error
1,2,10,false,trade_planning,65535,6,10,2704,1120,120,259,5248,0,39978,0,9821,100058915,174835101,32935570,0,0,0,7195555,-7195555,0,2999754317,999918406,639109883,ACTIVE,true,0,0,0
2,3,15,false,trade_planning,65535,11,15,2704,1120,120,259,5248,0,35623,0,14176,106464108,174912470,34904152,0,0,20667,45997120,-45976453,0,3082842046,1027614315,1002579682,ACTIVE,true,0,0,0
3,4,20,false,trade_planning,65535,16,20,2704,1120,120,259,5248,0,24928,0,24871,82089249,150204975,33602229,0,0,663600,14765889,-14102289,0,2916940393,972313783,637969453,ACTIVE,true,0,0,0
4,5,25,false,trade_planning,65535,21,25,2704,1120,120,259,5248,0,21899,0,27900,76713303,138036810,32376684,0,0,644700,7791613,-7146913,0,3079562945,1026521286,616587246,ACTIVE,true,0,0,0
5,6,30,false,trade_planning,65535,26,30,2704,1120,120,259,5248,0,25702,0,24097,82150163,145835808,31245525,0,0,414005,13058843,-12644838,0,3229387374,1076462775,738623368,ACTIVE,true,0,0,0
6,7,35,false,trade_planning,65535,31,35,2704,1120,120,259,5248,0,25723,0,24076,76888003,154028188,29802188,0,0,432521,7623780,-7191259,0,3296091567,1098697488,689255248,ACTIVE,true,0,0,0
7,8,40,false,trade_planning,65535,36,40,2704,1120,120,259,5248,0,29310,0,20489,77471882,158476953,29135269,0,0,147996,12394961,-12246965,0,3398841289,1132947408,767275673,ACTIVE,true,0,0,0
8,9,45,false,trade_planning,65535,41,45,2704,1120,120,259,5248,0,26558,0,23241,69995721,159885543,28282576,0,0,206312,10699567,-10493255,0,3448144088,1149381680,702402947,ACTIVE,true,0,0,0
9,10,50,false,trade_planning,65535,46,50,2704,1120,120,259,5248,0,26349,0,23450,67903071,152306392,27507721,0,0,248279,6306337,-6058058,0,3547865767,1182622232,706166022,ACTIVE,true,0,0,0
10,11,55,false,trade_planning,65535,51,55,2704,1120,120,259,5248,0,27693,0,22106,68150053,151143709,26675185,0,0,274870,6051435,-5776565,0,3660041889,1220014259,772667364,ACTIVE,true,0,0,0
11,12,60,false,trade_planning,65535,56,60,2704,1120,120,259,5248,0,27949,0,21850,64105183,165881320,25496865,0,0,166220,6209593,-6043373,0,3740204033,1246734981,754278006,ACTIVE,true,0,0,0
12,13,65,false,trade_planning,65535,61,65,2704,1120,120,259,5248,0,30139,0,19659,68296510,171803225,24999212,0,0,57084,13389945,-13332861,0,3835766420,1278589124,915468522,ACTIVE,true,0,0,0
13,14,70,false,trade_planning,65535,66,70,2704,1120,120,259,5248,0,27043,0,22755,59506732,172190951,24402681,0,0,22781,8702782,-8680001,0,3824930909,1274977289,787884867,ACTIVE,true,0,0,0
14,15,75,false,trade_planning,65535,71,75,2704,1120,120,259,5248,0,24724,0,25074,58235430,161409662,23799777,0,0,30738,4476297,-4445559,0,3929861468,1309954135,794878916,ACTIVE,true,0,0,0
15,16,80,false,trade_planning,65535,76,80,2704,1120,120,259,5248,0,27867,0,21931,60149087,170084406,23238876,0,0,38605,10068564,-10029959,0,4044506577,1348169169,928198400,ACTIVE,true,0,0,0
16,17,85,false,trade_planning,65535,81,85,2704,1120,120,259,5248,0,26415,0,23383,54996639,172027850,22476198,0,0,51230,5299768,-5248538,0,4083770383,1361257104,842844316,ACTIVE,true,0,0,0
17,18,90,false,trade_planning,65535,86,90,2704,1120,120,259,5248,0,27631,0,22167,56367260,175328678,22035579,0,0,37487,8802708,-8765221,0,4208005726,1402668878,938061784,ACTIVE,true,0,0,0
18,19,95,false,trade_planning,65535,91,95,2704,1120,120,259,5248,0,26836,0,22962,52832258,176268346,21551726,0,0,28915,7593908,-7564993,0,4280563413,1426854784,931105580,ACTIVE,true,0,0,0
19,20,100,false,trade_planning,65535,96,100,2704,1120,120,259,5248,0,25359,0,24439,50899222,169770574,21054178,0,0,24176,4908151,-4883975,0,4372744305,1457581753,933359552,ACTIVE,true,0,0,0
20,21,105,false,trade_planning,65535,101,105,2704,1120,120,259,5248,0,25339,0,24445,49963996,172682067,20535531,0,0,22114,5829141,-5807027,0,4477653628,1492551522,980459924,ACTIVE,true,0,0,0
21,22,110,false,trade_planning,65535,106,110,2704,1120,120,259,5248,0,26266,0,23511,48717714,175910962,19979591,0,0,23310,5734778,-5711468,0,4562204283,1520735081,1002691763,ACTIVE,true,0,0,0
22,23,115,false,trade_planning,65535,111,115,2704,1120,120,259,5248,0,26238,0,23526,45830169,175856076,19502933,0,0,31512,5481395,-5449883,0,4646060923,1548687292,1007772845,ACTIVE,true,0,0,0
23,24,120,false,trade_planning,65535,116,120,2704,1120,120,259,5248,0,25078,0,24645,44126627,169402825,19060118,0,0,44930,4701839,-4656909,0,4734906110,1578302339,1018651299,ACTIVE,true,0,0,0
24,25,125,false,trade_planning,65535,121,125,2704,1120,120,259,5248,0,21489,0,28216,36564326,136009485,18920867,0,0,61965,5160557,-5098592,0,4787426650,1595809191,907705189,ACTIVE,true,0,0,0
25,26,130,false,trade_planning,65535,126,130,2704,1120,120,259,5248,0,19736,0,29845,30852176,104005460,18920517,0,0,57254,2507901,-2450647,0,4857650745,1619217224,800492882,ACTIVE,true,0,0,0
26,27,135,false,trade_planning,65535,131,135,2704,1120,120,259,5248,0,24770,0,24545,27929697,119170790,18032074,0,0,54129,2004344,-1950215,0,4975363270,1658454739,687400292,ACTIVE,true,0,0,0
27,28,140,false,trade_planning,65535,136,140,2704,1120,120,259,5248,0,28839,0,20101,26731449,139605034,17673125,0,0,52158,2225754,-2173596,0,5075675729,1691892224,688470372,ACTIVE,true,0,0,0
28,29,145,false,trade_planning,65535,141,145,2704,1120,120,259,5248,0,28162,0,20391,23158002,130826576,17435469,0,0,55273,1757068,-1701795,0,5137496646,1712499172,599838349,ACTIVE,true,0,0,0
29,30,150,false,trade_planning,65535,146,150,2704,1120,120,259,5248,0,29077,0,19155,22771538,149324818,17229325,0,0,54100,1643615,-1589515,0,5210673462,1736891474,612148624,ACTIVE,true,0,0,0
30,31,155,false,trade_planning,65535,151,155,2704,1120,120,259,5248,0,29931,0,17782,22493196,168555937,17203110,0,0,46914,1546614,-1499700,0,5278229816,1759410238,639010092,ACTIVE,true,0,0,0
31,32,160,false,trade_planning,65535,156,160,2704,1120,120,259,5248,0,30596,0,16790,22468252,179948076,17192392,0,0,44624,1860678,-1816054,0,5345706510,1781902496,667274431,ACTIVE,true,0,0,0
32,33,165,false,trade_planning,65535,161,165,2704,1120,120,259,5248,0,30625,0,16341,22293894,185252373,17185378,0,0,40321,1951861,-1911540,0,5410152568,1803384488,696360243,ACTIVE,true,0,0,0
33,34,170,false,trade_planning,65535,166,170,2704,1120,120,259,5248,0,30528,0,16032,22158041,187954172,17176572,0,0,37680,1903169,-1865489,0,5474581217,1824860715,726295330,ACTIVE,true,0,0,0
34,35,175,false,trade_planning,65535,171,175,2704,1120,120,259,5248,0,30070,0,16123,21832050,187122622,17174083,0,0,35756,1851900,-1816144,0,5538188383,1846063094,753256126,ACTIVE,true,0,0,0
35,36,180,false,trade_planning,65535,176,180,2704,1120,120,259,5248,0,30153,0,15669,22012555,189853408,17167354,0,0,35926,2077141,-2041215,0,5602483097,1867494670,782881352,ACTIVE,true,0,0,0
36,37,185,false,trade_planning,65535,181,185,2704,1120,120,259,5248,0,29408,0,16046,21674340,186194203,17163022,0,0,34703,1713718,-1679015,0,5662685467,1887562115,800054018,ACTIVE,true,0,0,0
37,38,190,false,trade_planning,65535,186,190,2704,1120,120,259,5248,0,29213,0,15922,21568325,186433514,17161455,0,0,34189,1814718,-1780529,0,5725442293,1908481078,817406470,ACTIVE,true,0,0,0
38,39,195,false,trade_planning,65535,191,195,2704,1120,120,259,5248,0,29183,0,15573,21570186,188074781,17154675,0,0,33965,1985808,-1951843,0,5786583680,1928861532,838868060,ACTIVE,true,0,0,0
39,40,200,false,trade_planning,65535,196,200,2704,1120,120,259,5248,0,28705,0,15612,21395109,187420667,17152105,0,0,34495,1910001,-1875506,0,5846897478,1948966156,840529488,ACTIVE,true,0,0,0
40,41,205,false,trade_planning,65535,201,205,2704,1120,120,259,5248,0,28554,0,15557,21365004,188316283,17150016,0,0,34285,1801345,-1767060,0,5907301016,1969100639,842574093,ACTIVE,true,0,0,0
41,42,210,false,trade_planning,65535,206,210,2704,1120,120,259,5248,0,28267,0,15293,21342244,188373404,17143757,0,0,34000,1975706,-1941706,0,5968400029,1989466974,840937396,ACTIVE,true,0,0,0
42,43,215,false,trade_planning,65535,211,215,2704,1120,120,259,5248,0,27956,0,15411,21265046,188218899,17142463,0,0,33761,1733950,-1700189,0,6027748119,2009249701,841473451,ACTIVE,true,0,0,0
43,44,220,false,trade_planning,65535,216,220,2704,1120,120,259,5248,0,27818,0,15343,21194431,187392762,17140412,0,0,32886,1854292,-1821406,0,6088699050,2029566656,838654488,ACTIVE,true,0,0,0
44,45,225,false,trade_planning,65535,221,225,2704,1120,120,259,5248,0,27599,0,15000,21177406,188931387,17135233,0,0,31698,2014849,-1983151,0,6148576791,2049525910,839252205,ACTIVE,true,0,0,0
45,46,230,false,trade_planning,65535,226,230,2704,1120,120,259,5248,0,27341,0,15133,21096589,187484939,17134154,0,0,30966,1902147,-1871181,0,6208902324,2069634422,838007613,ACTIVE,true,0,0,0
46,47,235,false,trade_planning,65535,231,235,2704,1120,120,259,5248,0,27011,0,15241,20977945,186454395,17133207,0,0,28995,1781776,-1752781,0,6269085623,2089695515,835127119,ACTIVE,true,0,0,0
