epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error
1,1,5,false,trade_planning,65535,1,5,7569,2400,120,260,13874,0,126762,2388,1570,0,0,0,1264686905,0,172477405,0,172477405,7891415780,0,811000000,10670000,370000,10300000,296000000,515000000,0,0,0,543040000,0,0,46483740,-46483740,0,44757660046,6393952459,7080415780,990216172,0,149332000,ACTIVE,true,1,1004698382656098209,8037876792253904599,SCAN,0,288000,0,0,0,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19692257280,0,0,0,0
2,2,10,false,trade_planning,65535,6,10,7902,2400,120,260,13874,0,127990,2388,342,0,0,59435466,1345623922,14596632,173818792,11481,173818792,10096417120,35229,811000000,10670000,370000,10300000,296000000,515000000,0,0,0,543040000,0,0,46389366,-46389366,0,23723813101,3389116960,9285381891,1099883115,16383295,132947585,ACTIVE,true,1,1004698382656098209,8037876792253904599,SCAN,16384,288000,0,28,0,0,0,initial_topology_capture,28,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13128171520,0,0,0,0
3,3,15,false,trade_planning,65535,11,15,7902,2400,120,260,13874,0,127989,2388,342,0,1,69600981,1523331598,15187184,173817132,11315992,173817132,13587696992,15363424,811000000,10670000,370000,10300000,296000000,515000000,0,0,0,543040000,0,0,77424577,-77424577,0,19735412869,2819345490,12761333568,1283358803,29744098,119528262,ACTIVE,true,1,1004698382656098209,8037876792253904599,SCAN,32768,288000,0,232,0,0,0,initial_topology_capture,232,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13128171520,0,0,0,0
4,4,20,false,trade_planning,65535,16,20,7901,2400,120,260,13874,0,127984,2388,341,0,6,146042850,1377088073,194386035,173821970,325763528,173821970,11940745298,614866719,811000000,10670000,370000,10300000,296000000,515000000,0,0,0,543040000,0,0,72265207,-72265207,0,13683102586,1954729742,10514878579,1346750101,144382898,4759356,ACTIVE,true,1,1004698382656098209,8037876792253904599,SCAN,49152,288000,0,528,0,0,0,initial_topology_capture,528,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13128171520,0,0,0,0
5,5,25,false,trade_planning,65535,21,25,7896,2400,120,260,13874,0,127990,2388,335,0,0,146472382,783015918,674849016,173820728,116573189,173820728,10414044935,325869904,811000000,10670000,370000,10300000,296000000,515000000,0,0,0,543040000,0,0,68186858,-68186858,0,11711321983,1673046784,9277175031,1410774312,144849750,4215636,ACTIVE,true,1,1004698382656098209,8037876792253904599,SCAN,65536,288000,0,803,0,0,0,initial_topology_capture,803,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13128171520,0,0,0,0
6,6,30,false,trade_planning,65535,26,30,7896,2400,120,260,13874,0,127990,2388,335,0,0,146684858,619264434,454688874,173821408,69731670,173821408,10067226539,222830688,811000000,10670000,370000,10300000,296000000,515000000,0,0,0,543040000,0,0,61422874,-61422874,0,11279663505,1611381298,9033395851,1506599316,145095466,3905779,ACTIVE,true,1,1004698382656098209,8037876792253904599,SCAN,81920,288000,0,1137,0,0,0,initial_topology_capture,1137,2559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13128171520,0,0,0,0
7,7,35,false,trade_planning,65535,31,35,7896,2400,120,260,13874,0,127990,2388,335,0,0,146848384,377281668,431701638,173821161,18992232,173821161,9496763366,96761213,811000000,10670000,370000,10300000,296000000,515000000,0,0,0,543040000,0,0,55295396,-55295396,0,11478412341,1639773974,8589002153,1663591015,145291438,4895869,ACTIVE,true,1,1004698382656098209,8037876792253904599,SCAN,98304,288000,0,1464,0,0,0,initial_topology_capture,1464,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13128171520,0,0,0,0
8,8,40,false,trade_planning,65535,36,40,7896,2400,120,260,13874,0,127990,2388,335,0,0,144731591,420396587,214808356,173822288,6747905,173822288,10865262421,41444981,811000000,10670000,370000,10300000,296000000,515000000,0,0,0,543040000,0,0,65351834,-65351834,0,12279268868,1754182040,10012817440,1750904701,142006475,8990787,ACTIVE,true,1,1004698382656098209,8037876792253904599,SCAN,114688,288000,0,1747,0,0,0,initial_topology_capture,1747,3857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13128171520,0,0,0,0
9,9,45,false,trade_planning,65535,41,45,7896,2400,120,260,13874,0,127990,2388,335,0,0,143551159,479609471,102444826,173822351,12604179,173822351,11191713254,69008888,811000000,10670000,370000,10300000,296000000,515000000,0,0,0,543040000,0,0,60246890,-60246890,0,12353042822,1764721190,10311704366,1908260350,140314257,8712839,ACTIVE,true,1,1004698382656098209,8037876792253904599,SCAN,131072,288000,0,1965,0,0,0,initial_topology_capture,1965,4510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13128171520,0,0,0,0
10,10,50,false,trade_planning,65535,46,50,7896,2400,120,260,13874,0,127990,2388,335,0,0,146957324,462593312,148056722,173824391,3385447,173824391,11580628529,21504872,811000000,10670000,370000,10300000,296000000,515000000,0,0,0,543040000,0,0,56805240,-56805240,0,12794211286,1827745262,10748123657,2021125770,145498995,3431169,ACTIVE,true,1,1004698382656098209,8037876792253904599,SCAN,147456,288000,0,2298,0,0,0,initial_topology_capture,2298,5137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13128171520,0,0,0,0
