epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_owner_job_reallocations,building_owner_job_profession_changes,building_owner_job_probability_skips,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap
1,2,2,false,trade_planning,65535,2,2,5134,2400,120,261,8635,0,11373,239,55,0,0,0,98043428,0,42953730,0,42953730,631380982,0,80350000,789500,54500,735000,43600000,36750000,0,0,0,56567500,0,0,4299373,-4299373,0,6635869742,551030982,551030982,0,947981499,551030982,65239247,93500,5724350,ACTIVE,true,1,1491153001861690607,5074282379595686183,SCAN,0,5500,0,0,1,0,0,initial_topology_capture,0,0,0,4471,0,32,16,0,16,0,16,0,16,0,0,0,0,0,0,0,0,0,10276044800,0,0,0,0,0,24,24,133,133,3,24,0,194,0,395,0,18378900,5736848,29676,5707172,64845089,1,0,0,0,0,0,0,0,0,0,0,0
2,3,3,false,trade_planning,65535,3,3,5185,2400,120,261,8643,0,11585,250,59,0,0,0,100229712,0,43581620,0,43581620,643386128,0,85200000,819000,59000,760000,47200000,38000000,0,0,0,59775000,0,0,4167917,-4167917,0,6565165079,558186128,558186128,0,937880828,558186128,60509500,101500,4874100,ACTIVE,true,1,1491153001861690607,5074282379595686183,SCAN,4096,5500,0,432,1,0,0,initial_topology_capture,432,2302,0,4471,0,32,16,0,16,0,16,0,16,0,0,0,0,0,0,0,0,0,10267656192,0,0,0,0,0,33,33,130,130,4,33,0,196,0,398,0,25291860,4895400,30754,4864646,60384238,2,0,0,0,0,0,0,0,0,0,0,0
3,4,4,false,trade_planning,65535,4,4,5220,2400,120,261,8649,0,11764,222,44,0,0,0,101066768,0,44332430,0,44332430,644316872,0,78200000,716500,56500,660000,45200000,33000000,0,0,0,54462500,0,0,4304023,-4304023,0,7420473046,566116872,566116872,0,1060067689,566116872,64791491,102500,5330000,ACTIVE,true,1,1491153001861690607,5074282379595686183,SCAN,0,11355,0,0,2,0,0,initial_topology_capture,0,0,0,7023,0,64,16,0,48,32,16,0,16,0,0,0,0,0,0,0,0,0,10196353024,0,0,0,0,0,41,41,135,135,6,41,0,200,0,417,0,31351980,5346694,31346,5315348,64712127,3,0,0,0,0,0,0,0,0,0,0,0
4,5,5,false,trade_planning,65535,5,5,5265,2400,120,261,8656,0,10989,233,52,0,0,0,93493456,0,41231345,0,41231345,610301064,0,83300000,713500,63500,650000,50800000,32500000,0,0,0,57447500,0,0,4162526,-4162526,0,6380797128,527001064,527001064,0,911542552,527001064,62773497,97500,5410800,ACTIVE,true,1,1491153001861690607,5074282379595686183,SCAN,0,14159,0,0,3,0,0,initial_topology_capture,0,0,0,7470,0,88,28,0,60,32,28,0,28,0,0,0,0,0,0,0,0,0,10045358080,0,0,0,0,0,35,35,123,123,8,35,0,188,0,382,0,26820840,5427498,29052,5398446,62773500,4,0,0,0,0,0,0,0,0,0,0,0
5,6,6,false,trade_planning,65535,6,6,5220,2400,120,261,8662,0,10651,200,31,0,7,1162779,35203648,2811,40626552,1193,40626552,247751305,5974,2247600,20652,1620,19032,1296000,951600,0,0,0,46000000,0,0,2810486,-2810486,0,3554116114,245529670,245529670,31939,507730977,245497731,63630985,210914,4313786,ACTIVE,true,1,1491153001861690607,5074282379595686183,SCAN,0,14159,0,0,4,0,0,initial_topology_capture,0,0,0,7999,0,112,40,0,72,32,40,0,40,0,0,0,0,0,0,0,0,0,9139388416,0,0,0,0,0,60,59,17,12,3,60,0,184,0,418,0,41105860,4497100,1703250,2793850,63635973,5,0,0,0,0,0,0,0,0,0,0,0
6,7,7,false,trade_planning,65535,7,7,5191,2400,120,261,8665,0,11411,212,37,0,12,1613138,38129235,3446,43854781,1231,43854781,274210130,6154,2301000,22620,1560,21060,1248000,1053000,0,0,0,47800000,0,0,3104044,-3104044,0,3909692440,271935902,271935902,32926,558527586,271902976,73615725,233701,5612149,ACTIVE,true,1,1491153001861690607,5074282379595686183,ROUTE,14159,14159,0,8,4,0,0,initial_topology_capture,8,85,0,7999,0,112,40,0,72,32,40,0,40,0,0,0,0,0,0,0,0,0,9051308032,0,0,0,0,0,58,56,17,11,5,58,0,171,0,384,0,38106330,5815450,2368960,3446490,73620692,6,0,0,0,0,0,0,0,0,0,0,0
7,8,8,false,trade_planning,65535,8,8,5148,2400,120,261,8668,0,11636,210,34,0,14,1177364,38495715,3331,44435086,1273,44435086,268244951,6435,2420400,23208,1680,21528,1344000,1076400,0,0,0,50000000,0,0,3041712,-3041712,0,3911151868,265852520,265852520,34404,558736081,265818116,69236800,232507,4780093,ACTIVE,true,1,1491153001861690607,5074282379595686183,SCAN,0,14159,0,0,5,0,0,initial_topology_capture,0,0,0,14546,0,156,56,8,84,32,52,0,40,0,8,0,0,0,8,8,0,0,8912896000,11524172,0,0,0,0,68,67,24,20,5,68,0,195,0,431,0,44906780,4973800,1711236,3262564,69242109,7,2,0,0,0,0,0,0,0,0,0,0
8,9,9,false,trade_planning,65535,9,9,5102,2400,120,261,8672,0,11817,182,23,0,8,1275218,39190978,3136,45284767,1297,45284767,275045895,6549,2176800,19686,1590,18096,1272000,904800,0,0,0,44400000,0,0,3143271,-3143271,0,4242112112,272897557,272897557,35011,606016126,272862546,74066325,236639,5235861,ACTIVE,true,1,1491153001861690607,5074282379595686183,SCAN,0,14159,0,0,6,0,0,initial_topology_capture,0,0,0,18537,0,188,72,8,101,33,68,0,56,0,8,0,0,0,8,0,0,0,8795455488,0,0,0,0,0,62,60,24,19,6,62,0,193,0,436,1,39099390,5431300,1855075,3576225,74071953,8,0,0,0,0,0,0,0,0,0,0,0
9,10,10,false,trade_planning,65535,10,10,5054,2400,120,261,8676,0,11047,197,24,0,7,1342476,36161801,2514,42214291,1247,42214291,258348158,6260,2325600,19287,1815,17472,1452000,873600,0,0,0,46600000,0,0,2994989,-2994989,0,3780196390,256049740,256049740,33442,540028157,256016298,71732850,219723,5323577,ACTIVE,true,1,1491153001861690607,5074282379595686183,SCAN,8192,14159,0,1114,6,0,0,initial_topology_capture,1114,4314,0,18537,0,188,72,8,101,33,68,0,56,0,8,0,0,0,8,0,0,0,8770289664,0,0,0,0,0,68,66,19,14,4,68,0,190,0,411,1,44884600,5507100,1970557,3536543,71737880,9,0,0,0,0,0,0,0,0,0,0,0
10,11,11,false,trade_planning,65535,11,11,5017,2400,120,261,8676,0,10700,154,23,0,3,1153304,23974422,114174,42325684,1071,42325684,304465891,6676,1971600,17382,1470,15912,1176000,795600,0,0,0,40000000,0,0,4432702,-4432702,0,3486030544,302522769,302522769,35154,498004463,302487615,69953320,699530,3862170,ACTIVE,true,1,1491153001861690607,5074282379595686183,SCAN,0,14159,0,0,7,0,0,initial_topology_capture,0,0,0,22777,0,216,72,8,129,33,96,0,56,0,8,0,0,0,8,0,0,0,8661237760,0,0,0,0,0,63,56,27,17,3,63,0,154,1,362,2,37740540,4520500,1595417,2925083,69957317,10,0,0,0,0,0,0,0,0,0,0,0
