epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,is_construction,group_index,type_id,owner_signature_id,count,owner_capacity,owner_required,planned_owner_equivalent,filled_owner,owner_openings,employee_required,employee_filled,wage_suspended,capacity_q16,purchase_intent_capacity_q16,realized_profit_margin_q16,severe_loss_cycles,recovery_cycles,operating_state,last_input,last_output,last_sold,last_discarded,last_retained,last_resource,last_resource_generated,last_revenue,last_input_cost,last_wages_paid,last_wages_due,last_expected_revenue,last_operating_cost,last_margin_gap_q16,planned_utilization_q16,last_base_wages_due,last_base_wages_paid,last_bonus_due,last_bonus_paid,owner_living_cost_per_day,owner_livelihood_required,viability_operating_cost,viability_income_gap,projected_owner_income_per_day,construction_ready_days,funded_capacity_q16,owner_working_capital_allocated,investment_score_q16,investment_payback_days,investment_rejection_reason
1,2,2,1117,28,18,-46,0,0,65,9,1,1,1,1,1,0,0,0,0,65536,65536,18596,0,0,0,0,19635,19635,0,0,980,0,78540,0,0,0,78540,0,9831,65536,0,0,0,0,12236,61180,61180,17360,15708,,65536,0,0,0,0
1,2,2,1117,28,18,-46,0,1,70,9,24,48,48,48,48,0,0,0,0,65536,65536,44383,0,0,0,0,840000,625760,0,214240,0,0,3128800,0,0,0,4200000,0,22243,65536,0,0,0,0,12236,2936640,2936640,192160,17500,,0,0,0,0,0
1,2,2,1117,28,18,-46,0,2,80,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,-54767,65536,0,0,0,0,14423,72115,72115,-72115,2040,,0,2000,0,0,0
1,2,2,1117,28,18,-46,0,3,91,2,1,1,1,1,1,0,0,0,0,0,65536,-65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82500,0,-265,65536,0,0,0,0,14423,72115,72115,-72115,16100,,65536,0,0,0,0
1,2,2,1117,28,18,-46,0,4,107,20,1,1,1,1,1,0,0,0,0,65536,65536,-65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65536,65536,0,0,0,0,18309,91545,91545,-91545,0,,65536,0,0,0,0
1,2,2,1117,28,18,-46,0,5,204,20,1,1,1,1,1,0,1,1,0,65536,65536,24379,0,0,0,0,500,500,0,0,250,0,400000,0,242500,242500,400000,242500,13354,65536,200000,200000,42500,42500,18309,91545,291545,108455,40000,,32768,30000,0,0,0
1,2,2,1117,28,18,-46,0,6,239,12,8,16,16,16,16,0,0,0,0,32768,65536,-6325,0,0,0,0,98700,32780,0,65920,14300,0,352720,0,0,0,2023840,0,44468,65536,0,0,0,0,13120,1049600,1049600,-696880,24923,,65536,0,0,0,0
1,2,2,1117,28,18,-46,0,7,243,20,1,1,1,1,1,0,1,1,0,65536,65536,-9338,0,0,0,0,5000,5000,0,0,1000,0,250000,0,205000,205000,250000,205000,-16229,65536,200000,200000,5000,5000,18309,91545,291545,-41545,10000,,0,225000,0,0,0
1,2,2,1117,28,18,-46,0,8,252,9,3,3,3,3,3,0,0,0,0,0,65536,-65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813600,0,54696,65536,0,0,0,0,12236,183540,183540,-183540,39240,,0,0,0,0,0
2,3,3,1117,28,18,-46,0,0,65,9,1,1,1,1,1,0,0,0,0,65536,65536,18596,0,0,0,0,19635,19635,0,0,980,0,78540,0,0,0,78540,0,9831,65536,0,0,0,0,12236,61180,61180,17360,15708,,65536,0,0,0,0
