epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,resource_id,opening_reserve,natural_net_change,artificial_change_applied,artificial_change_pending,reserve
1,1,6,1227,17,20,-37,timber,100038.2,0,0,0,100038.2
1,1,6,1227,17,20,-37,stone,629419.8,0,0,0,629419.8
1,1,6,1227,17,20,-37,fertile_soil,16591.857,0,0,0,16591.857
1,1,6,1227,17,20,-37,arable_land,0,0,0,0,0
1,1,6,1227,17,20,-37,paddy_land,0,0,0,0,0
1,1,6,1227,17,20,-37,plantation_land,0,0,0,0,0
1,1,6,1227,17,20,-37,pasture,0,0,0,0,0
1,1,6,1227,17,20,-37,coal,1.1166982e+08,0,0,0,1.1166982e+08
1,1,6,1227,17,20,-37,oil,0,0,0,0,0
1,1,6,1227,17,20,-37,natural_gas,0,0,0,0,0
1,1,6,1227,17,20,-37,copper_ore,6.825623e+06,0,0,0,6.825623e+06
1,1,6,1227,17,20,-37,iron_ore,2.7677373e+08,0,0,0,2.7677373e+08
1,1,6,1227,17,20,-37,gold_ore,11524.274,0,0,-0.25,11524.274
1,1,6,1227,17,20,-37,silver_ore,6.5455065e+06,0,0,-2.5,6.5455065e+06
1,1,6,1227,17,20,-37,salt,0,0,0,0,0
1,1,6,1227,17,20,-37,saltpeter,0,0,0,0,0
1,1,6,1227,17,20,-37,rare_earth,0,0,0,0,0
1,1,6,1227,17,20,-37,clay,1.6041e+07,0,0,0,1.6041e+07
1,1,6,1227,17,20,-37,wild_game,10659.043,0,0,-21.45,10659.043
1,1,6,1227,17,20,-37,marine_fish,0,0,0,0,0
1,1,6,1227,17,20,-37,bauxite,0,0,0,0,0
1,1,6,1227,17,20,-37,limestone,0,0,0,0,0
1,1,6,1227,17,20,-37,silica_sand,0,0,0,0,0
1,1,6,1227,17,20,-37,phosphate_rock,0,0,0,0,0
1,1,6,1227,17,20,-37,tin_ore,0,0,0,0,0
1,1,6,1227,17,20,-37,lead_ore,0,0,0,0,0
1,1,6,1227,17,20,-37,zinc_ore,0,0,0,0,0
1,1,6,1227,17,20,-37,manganese_ore,0,0,0,0,0
1,1,6,1227,17,20,-37,sulfur,0,0,0,0,0
1,1,6,1227,17,20,-37,flint,57404.18,0,0,-0.98,57404.18
2,2,11,1227,17,20,-37,timber,100038.2,42.195312,0,0,100080.4
2,2,11,1227,17,20,-37,stone,629419.8,0,0,0,629419.8
2,2,11,1227,17,20,-37,fertile_soil,16591.857,3.109375,0,0,16594.967
2,2,11,1227,17,20,-37,arable_land,0,0,0,0,0
2,2,11,1227,17,20,-37,paddy_land,0,0,0,0,0
2,2,11,1227,17,20,-37,plantation_land,0,0,0,0,0
2,2,11,1227,17,20,-37,pasture,0,0,0,0,0
2,2,11,1227,17,20,-37,coal,1.1166982e+08,0,0,0,1.1166982e+08
2,2,11,1227,17,20,-37,oil,0,0,0,0,0
2,2,11,1227,17,20,-37,natural_gas,0,0,0,0,0
2,2,11,1227,17,20,-37,copper_ore,6.825623e+06,0,0,0,6.825623e+06
2,2,11,1227,17,20,-37,iron_ore,2.7677373e+08,0,0,0,2.7677373e+08
