row_idx,tick_idx,timestamp_ms,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,sus_pct_of_fast,render_pct_of_fast,ui_pct_of_fast,known_job_ms,known_job_pct_of_sus,unaccounted_sus_ms,unaccounted_sus_pct,season_refresh_ms,season_refresh_pct_of_sus,season_refresh_pct_of_known_jobs,natural_resource_daily_ms,natural_resource_daily_pct_of_sus,natural_resource_daily_pct_of_known_jobs,enum_atlas_upload_ms,enum_atlas_upload_pct_of_sus,enum_atlas_upload_pct_of_known_jobs,ocean_currents_ms,ocean_currents_pct_of_sus,ocean_currents_pct_of_known_jobs,native_daily_sim_ms,native_daily_sim_pct_of_sus,native_daily_sim_pct_of_known_jobs,dynamic_visual_atlas_upload_ms,dynamic_visual_atlas_upload_pct_of_sus,dynamic_visual_atlas_upload_pct_of_known_jobs,dominant_job,dominant_job_ms,dominant_job_pct_of_sus,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms
0,384,46152,49,13.000,12.153,0.021,0.929,93.5,0.2,7.1,10.503,86.4,1.650,13.6,0.046,0.4,0.4,1.281,10.5,12.2,0.000,0.0,0.0,4.697,38.6,44.7,4.479,36.9,42.6,0.000,0.0,0.0,ocean_currents,4.697,38.6,ocean_currents,phys_wind,next_phys_done,gdext,4.673
1,385,46177,49,8.000,7.982,0.013,0.532,99.8,0.2,6.7,6.309,79.0,1.673,21.0,0.046,0.6,0.7,1.394,17.5,22.1,0.000,0.0,0.0,0.000,0.0,0.0,4.452,55.8,70.6,0.417,5.2,6.6,native_daily_sim,4.452,55.8,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,4.441
2,386,46203,49,10.000,9.106,0.017,0.812,91.1,0.2,8.1,7.621,83.7,1.485,16.3,0.037,0.4,0.5,1.177,12.9,15.4,0.000,0.0,0.0,2.601,28.6,34.1,3.235,35.5,42.4,0.571,6.3,7.5,native_daily_sim,3.235,35.5,native_daily_sim,ocean_land,ocean_land_knobs,gdext_native_daily_slice,3.221
3,387,46225,49,11.000,9.396,0.027,0.726,85.4,0.2,6.6,7.692,81.9,1.704,18.1,0.046,0.5,0.6,1.061,11.3,13.8,0.000,0.0,0.0,2.943,31.3,38.3,3.642,38.8,47.3,0.000,0.0,0.0,native_daily_sim,3.642,38.8,native_daily_sim,wind_air,wind_air_knobs,gdext_native_daily_slice,3.631
4,388,46244,49,7.000,6.684,0.006,0.386,95.5,0.1,5.5,5.257,78.7,1.427,21.3,0.034,0.5,0.6,1.057,15.8,20.1,0.684,10.2,13.0,1.418,21.2,27.0,1.727,25.8,32.9,0.337,5.0,6.4,native_daily_sim,1.727,25.8,native_daily_sim,wind_surface,wind_surface_knobs,gdext_native_daily_slice,1.717
5,389,46264,49,5.000,4.483,0.008,0.485,89.7,0.2,9.7,3.016,67.3,1.467,32.7,0.039,0.9,1.3,1.173,26.2,38.9,0.000,0.0,0.0,0.000,0.0,0.0,1.804,40.2,59.8,0.000,0.0,0.0,native_daily_sim,1.804,40.2,native_daily_sim,sea_ice,sea_ice_knobs,gdext_native_daily_slice,1.795
6,390,46287,49,10.000,10.001,0.008,0.764,100.0,0.1,7.6,7.297,73.0,2.704,27.0,0.104,1.0,1.4,2.030,20.3,27.8,0.000,0.0,0.0,2.901,29.0,39.8,1.834,18.3,25.1,0.428,4.3,5.9,ocean_currents,2.901,29.0,ocean_currents,phys_psi_init,next_phys_upwelling,gdext,2.888
7,391,46313,49,11.000,10.797,0.011,0.533,98.2,0.1,4.8,8.923,82.6,1.874,17.4,0.100,0.9,1.1,1.917,17.8,21.5,0.000,0.0,0.0,0.000,0.0,0.0,6.906,64.0,77.4,0.000,0.0,0.0,native_daily_sim,6.906,64.0,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,6.893
8,392,46330,49,7.000,6.601,0.011,0.657,94.3,0.2,9.4,5.071,76.8,1.530,23.2,0.033,0.5,0.7,1.211,18.3,23.9,0.000,0.0,0.0,0.813,12.3,16.0,2.592,39.3,51.1,0.422,6.4,8.3,native_daily_sim,2.592,39.3,native_daily_sim,runtime_hydrology,runtime_hydrology_knobs,gdext_native_daily_slice,2.581
9,393,46359,49,14.000,11.869,1.390,0.848,84.8,9.9,6.1,10.187,85.8,1.682,14.2,0.037,0.3,0.4,1.199,10.1,11.8,0.000,0.0,0.0,2.470,20.8,24.2,6.481,54.6,63.6,0.000,0.0,0.0,native_daily_sim,6.481,54.6,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,6.439
10,394,46381,49,8.000,7.001,1.034,0.734,87.5,12.9,9.2,5.135,73.3,1.866,26.7,0.038,0.5,0.7,1.317,18.8,25.6,0.000,0.0,0.0,3.308,47.3,64.4,0.000,0.0,0.0,0.472,6.7,9.2,ocean_currents,3.308,47.3,ocean_currents,phys_slp,next_phys_wind,gdext,3.293
11,395,46408,49,14.000,13.383,0.011,0.479,95.6,0.1,3.4,11.867,88.7,1.516,11.3,0.039,0.3,0.3,1.566,11.7,13.2,0.000,0.0,0.0,0.000,0.0,0.0,10.262,76.7,86.5,0.000,0.0,0.0,native_daily_sim,10.262,76.7,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,10.251
12,396,46433,49,10.000,9.626,0.011,0.472,96.3,0.1,4.7,7.893,82.0,1.733,18.0,0.077,0.8,1.0,1.848,19.2,23.4,1.461,15.2,18.5,2.771,28.8,35.1,1.736,18.0,22.0,0.000,0.0,0.0,ocean_currents,2.771,28.8,ocean_currents,phys_wind,next_phys_done,gdext,2.760
13,397,46456,49,11.000,9.012,0.032,1.749,81.9,0.3,15.9,7.140,79.2,1.872,20.8,0.035,0.4,0.5,1.170,13.0,16.4,0.000,0.0,0.0,0.000,0.0,0.0,4.912,54.5,68.8,1.023,11.4,14.3,native_daily_sim,4.912,54.5,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,4.869
14,398,46483,49,11.000,10.959,0.010,0.461,99.6,0.1,4.2,9.253,84.4,1.706,15.6,0.075,0.7,0.8,1.756,16.0,19.0,0.000,0.0,0.0,4.356,39.7,47.1,3.066,28.0,33.1,0.000,0.0,0.0,ocean_currents,4.356,39.7,ocean_currents,phys_slp,next_phys_wind,gdext,4.335
15,399,46509,49,7.000,7.480,0.007,0.384,106.9,0.1,5.5,5.803,77.6,1.677,22.4,0.045,0.6,0.8,1.181,15.8,20.4,0.000,0.0,0.0,2.466,33.0,42.5,1.760,23.5,30.3,0.351,4.7,6.0,ocean_currents,2.466,33.0,ocean_currents,daily_wind_prepass,daily_wind_slp,gdext_daily_wind_slp,2.457
16,400,46531,49,11.000,10.054,0.020,0.874,91.4,0.2,7.9,8.384,83.4,1.670,16.6,0.046,0.5,0.5,1.244,12.4,14.8,0.000,0.0,0.0,2.521,25.1,30.1,4.573,45.5,54.5,0.000,0.0,0.0,native_daily_sim,4.573,45.5,native_daily_sim,wind_surface,wind_surface_knobs,gdext_native_daily_slice,4.546
17,401,46547,49,6.000,5.535,0.011,0.525,92.2,0.2,8.8,4.042,73.0,1.493,27.0,0.037,0.7,0.9,1.187,21.4,29.4,0.000,0.0,0.0,0.000,0.0,0.0,2.359,42.6,58.4,0.459,8.3,11.4,native_daily_sim,2.359,42.6,native_daily_sim,sea_ice,sea_ice_knobs,gdext_native_daily_slice,2.343
18,402,46561,49,12.000,11.390,0.011,0.525,94.9,0.1,4.4,8.894,78.1,2.496,21.9,0.056,0.5,0.6,1.850,16.2,20.8,0.000,0.0,0.0,4.625,40.6,52.0,2.363,20.7,26.6,0.000,0.0,0.0,ocean_currents,4.625,40.6,ocean_currents,phys_psi_init,next_phys_upwelling,gdext,4.595
19,403,46582,49,12.000,10.710,0.025,0.764,89.2,0.2,6.4,8.885,83.0,1.825,17.0,0.071,0.7,0.8,1.759,16.4,19.8,0.000,0.0,0.0,0.000,0.0,0.0,7.055,65.9,79.4,0.000,0.0,0.0,native_daily_sim,7.055,65.9,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,7.038
20,404,46610,49,14.000,12.284,0.899,0.522,87.7,6.4,3.7,10.678,86.9,1.606,13.1,0.039,0.3,0.4,1.190,9.7,11.1,0.745,6.1,7.0,1.035,8.4,9.7,7.222,58.8,67.6,0.447,3.6,4.2,native_daily_sim,7.222,58.8,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,7.204
21,405,46642,49,16.000,15.410,0.012,0.485,96.3,0.1,3.0,13.953,90.5,1.457,9.5,0.036,0.2,0.3,1.064,6.9,7.6,0.000,0.0,0.0,2.693,17.5,19.3,10.160,65.9,72.8,0.000,0.0,0.0,native_daily_sim,10.160,65.9,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,10.149
22,406,46666,49,10.000,9.453,0.022,0.760,94.5,0.2,7.6,7.774,82.2,1.679,17.8,0.044,0.5,0.6,1.174,12.4,15.1,0.000,0.0,0.0,3.234,34.2,41.6,2.804,29.7,36.1,0.518,5.5,6.7,ocean_currents,3.234,34.2,ocean_currents,phys_slp,next_phys_wind,gdext,3.223
23,407,46697,49,11.000,9.813,0.016,0.958,89.2,0.1,8.7,8.126,82.8,1.687,17.2,0.053,0.5,0.7,1.289,13.1,15.9,0.000,0.0,0.0,0.000,0.0,0.0,6.784,69.1,83.5,0.000,0.0,0.0,native_daily_sim,6.784,69.1,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,6.757
