epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,resource_id,reserve
1,1,5,575,8,14,-22,timber,28413.104
1,1,5,575,8,14,-22,stone,1.4069424e+08
1,1,5,575,8,14,-22,fertile_soil,346802.6
1,1,5,575,8,14,-22,coal,3.0041347e+08
1,1,5,575,8,14,-22,oil,0
1,1,5,575,8,14,-22,natural_gas,0
1,1,5,575,8,14,-22,copper_ore,9.12102e+06
1,1,5,575,8,14,-22,iron_ore,1.3767697e+07
1,1,5,575,8,14,-22,gold_ore,0
1,1,5,575,8,14,-22,silver_ore,0
1,1,5,575,8,14,-22,salt,0
1,1,5,575,8,14,-22,saltpeter,0
1,1,5,575,8,14,-22,rare_earth,0
1,1,5,575,8,14,-22,clay,8.495669e+06
1,1,5,575,8,14,-22,wild_game,10819.8
1,1,5,575,8,14,-22,marine_fish,0
1,1,5,575,8,14,-22,arable_land,125000
1,1,5,575,8,14,-22,paddy_land,0
1,1,5,575,8,14,-22,plantation_land,140000
1,1,5,575,8,14,-22,pasture,125000
1,1,5,575,8,14,-22,bauxite,0
1,1,5,575,8,14,-22,limestone,0
1,1,5,575,8,14,-22,silica_sand,0
1,1,5,575,8,14,-22,phosphate_rock,0
1,1,5,575,8,14,-22,tin_ore,0
1,1,5,575,8,14,-22,lead_ore,0
1,1,5,575,8,14,-22,zinc_ore,0
1,1,5,575,8,14,-22,manganese_ore,0
1,1,5,575,8,14,-22,sulfur,0
1,1,5,575,8,14,-22,flint,6.25767e+07
2,2,10,575,8,14,-22,timber,26927.637
2,2,10,575,8,14,-22,stone,1.4069424e+08
2,2,10,575,8,14,-22,fertile_soil,343568.44
2,2,10,575,8,14,-22,coal,3.0041347e+08
2,2,10,575,8,14,-22,oil,0
2,2,10,575,8,14,-22,natural_gas,0
2,2,10,575,8,14,-22,copper_ore,9.12102e+06
2,2,10,575,8,14,-22,iron_ore,1.3767697e+07
2,2,10,575,8,14,-22,gold_ore,0
2,2,10,575,8,14,-22,silver_ore,0
2,2,10,575,8,14,-22,salt,104.49546
2,2,10,575,8,14,-22,saltpeter,0
2,2,10,575,8,14,-22,rare_earth,0
2,2,10,575,8,14,-22,clay,8.495002e+06
2,2,10,575,8,14,-22,wild_game,10972.421
2,2,10,575,8,14,-22,marine_fish,0
2,2,10,575,8,14,-22,arable_land,125000
2,2,10,575,8,14,-22,paddy_land,0
2,2,10,575,8,14,-22,plantation_land,140000
2,2,10,575,8,14,-22,pasture,125000
