epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_probability_skips,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap
1,4,4,false,trade_planning,65535,4,4,5351,2400,120,261,8788,0,11394,238,61,0,0,0,116785933,5,24234696,0,24234696,758063829,0,77900000,725500,55500,670000,44400000,33500000,0,0,0,54387500,0,0,4222544,-4222544,0,6921525531,680163829,680163829,0,988789475,680163829,52826931,1271700,3959900,ACTIVE,true,1,5891907122307118673,3633990644688574903,ROUTE,5650,5650,0,8,1,0,0,initial_topology_capture,8,80,0,6747,0,60,32,4,16,0,16,0,32,0,12,0,0,0,4,0,0,0,9953083392,0,0,0,0,0,28,25,28,0,170,0,357,0,16720390,5086554,30608,5055946,52827000,3,0,0,0,0,0,0,0,0,0,0,0
2,5,5,false,trade_planning,65535,5,5,5401,2400,120,261,8795,0,12331,246,54,0,0,0,124850651,0,26050881,0,26050881,824111720,0,81000000,757500,57500,700000,46000000,35000000,0,0,0,56587500,0,0,5007542,-5007542,0,7733805703,743111720,743111720,0,1104829507,743111720,66787946,1940523,5314877,ACTIVE,true,1,5891907122307118673,3633990644688574903,SCAN,0,14380,0,0,2,0,0,initial_topology_capture,0,0,0,11507,0,92,32,4,48,32,16,0,32,0,12,0,0,0,3,0,1,0,9940500480,0,0,0,0,0,37,32,37,0,196,0,413,0,21272450,7089364,31904,7057460,66788000,4,0,0,0,0,0,0,0,0,0,0,0
3,6,6,false,trade_planning,65535,6,6,5374,2400,120,261,8804,0,11681,213,48,0,5,2521015,57949593,0,25590878,1325,25590878,455820527,6621,2375400,20958,1770,19188,1416000,959400,0,0,0,48200000,0,0,3319346,-3319346,0,4059448928,453473565,453473565,35059,579921384,453438506,81230281,2355846,3820754,ACTIVE,true,1,5891907122307118673,3633990644688574903,ROUTE,14380,14380,0,8,2,0,0,initial_topology_capture,8,80,0,11507,0,92,32,4,48,32,16,0,32,0,12,0,0,0,3,0,0,0,8975810560,0,0,0,0,0,29,26,29,0,200,0,423,0,19513070,6163594,3022861,3140733,81235282,5,0,0,0,0,0,0,0,0,0,0,0
4,7,7,false,trade_planning,65535,7,7,5353,2400,120,261,8813,0,10872,188,39,0,3,2421502,53393118,0,23776389,1282,23776389,426119755,6424,2092200,20019,1455,18564,1164000,928200,0,0,0,43200000,0,0,3177948,-3177948,0,3982762125,424055142,424055142,34011,568966116,424021131,79360416,2161503,3810847,ACTIVE,true,1,5891907122307118673,3633990644688574903,SCAN,0,14380,0,0,3,0,0,initial_topology_capture,0,0,0,13660,0,124,44,16,56,40,16,0,32,0,12,0,0,0,15,12,0,0,9000976384,17052790,0,0,0,0,19,17,19,0,188,0,399,0,12499680,5962344,2898457,3063887,79365391,6,2,0,0,0,0,0,0,0,0,0,0
5,8,8,false,trade_planning,65535,8,8,5333,2400,120,261,8822,0,11242,215,44,0,2,2253613,55856750,0,24667331,1316,24667331,435180312,6615,2329800,22071,1635,20436,1308000,1021800,0,0,0,48000000,0,0,3093803,-3093803,0,3931893494,432878922,432878922,35025,561699173,432843897,74609769,1853779,3734921,ACTIVE,true,1,5891907122307118673,3633990644688574903,ROUTE,14380,14380,0,8,3,0,0,initial_topology_capture,8,80,0,13660,0,124,44,16,56,40,16,0,32,0,12,0,0,0,12,0,3,0,9068085248,0,0,0,0,0,29,28,29,0,222,0,459,0,20675240,5577696,2751882,2825814,74614685,7,0,0,0,0,0,0,0,0,0,0,0
6,9,9,false,trade_planning,65535,9,9,5312,2400,120,261,8826,0,11427,216,46,0,4,2014975,56831904,0,25130527,1294,25130527,433956218,6512,2322600,21477,1665,19812,1332000,990600,0,0,0,47600000,0,0,3069078,-3069078,0,3999380464,431661582,431661582,34476,571340164,431627106,73926159,1707685,3533915,ACTIVE,true,1,5891907122307118673,3633990644688574903,SCAN,0,14380,0,0,4,0,0,initial_topology_capture,0,0,0,18108,0,144,44,16,76,40,36,0,32,0,12,0,0,0,11,0,1,0,9042919424,0,0,0,0,0,27,26,27,0,234,0,489,0,18752650,5229596,2377298,2852298,73822343,8,0,0,0,0,0,0,0,0,0,0,0
7,10,10,false,trade_planning,65535,10,10,5289,2400,120,261,8832,0,12370,217,39,0,5,3060623,61752690,0,27176446,1413,27176446,491834505,7029,2401800,22161,1725,20436,1380000,1021800,0,0,0,49200000,0,0,3511476,-3511476,0,4422849497,489462881,489462881,37205,631835747,489425676,91037199,2676883,4592517,ACTIVE,true,1,5891907122307118673,3633990644688574903,SCAN,0,14380,0,0,5,0,0,initial_topology_capture,0,0,0,21382,0,172,60,16,92,40,52,0,48,0,12,0,0,0,8,0,3,0,9013559296,0,0,0,0,0,31,28,31,0,228,0,458,0,19823570,7253396,3607111,3646285,91042381,9,0,0,0,0,0,0,0,0,0,0,0
8,11,11,false,trade_planning,65535,11,11,5277,2400,120,261,8832,0,11697,197,47,0,0,2781160,42935728,119875,27162204,1238,27162204,475631871,7718,2119200,17859,1635,16224,1308000,811200,0,0,0,42600000,0,0,4599726,-4599726,0,3880513704,473545378,473545378,40425,554359205,473504953,86527880,3124672,2830878,ACTIVE,true,1,5891907122307118673,3633990644688574903,SCAN,0,14380,0,0,6,0,0,initial_topology_capture,0,0,0,23730,0,204,76,16,108,40,68,0,64,0,12,0,0,0,6,0,2,0,9000976384,0,0,0,0,0,8,8,8,0,198,0,413,0,6574440,5972280,3087675,2884605,86269116,10,0,0,0,0,0,0,0,0,0,0,0
9,12,12,false,trade_planning,65535,12,12,5275,2400,120,261,8832,0,10880,179,39,0,2,2565791,41137814,118217,25208054,1192,25208054,459962546,7472,1831800,17061,1305,15756,1044000,787800,0,0,0,37600000,0,0,4551476,-4551476,0,3818793245,458162439,458162439,39165,545541998,458123274,83805513,2980913,2658486,ACTIVE,true,1,5891907122307118673,3633990644688574903,SCAN,0,14380,0,0,7,0,0,initial_topology_capture,0,0,0,29913,0,276,112,25,124,40,84,0,100,0,23,0,0,0,15,9,0,0,9038725120,46242067,0,0,0,0,4,4,4,0,199,0,414,0,3296400,5668422,2834922,2833500,83429114,11,11,0,0,0,0,0,0,0,0,0,0
10,13,13,false,trade_planning,65535,13,13,5263,2400,120,261,8832,0,11264,194,42,0,2,2377079,42244320,122345,26387396,1213,26387396,465697724,7685,2109600,19017,1545,17472,1236000,873600,0,0,0,43000000,0,0,4561326,-4561326,0,3734553895,463620676,463620676,40237,533507801,463580439,79386297,2733286,2632943,ACTIVE,true,1,5891907122307118673,3633990644688574903,SCAN,0,14380,0,0,8,0,0,initial_topology_capture,0,0,0,34460,0,308,132,26,140,40,100,0,120,0,26,0,0,0,15,1,1,0,9068085248,96568868,0,0,0,0,3,3,3,0,172,0,380,0,2477400,5386526,2676551,2709975,79133225,12,12,0,0,0,0,0,0,0,0,0,0
