epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,is_construction,group_index,type_id,owner_signature_id,count,owner_capacity,owner_required,planned_owner_equivalent,filled_owner,owner_openings,employee_required,employee_filled,wage_suspended,capacity_q16,purchase_intent_capacity_q16,realized_profit_margin_q16,severe_loss_cycles,recovery_cycles,operating_state,last_input,last_output,last_sold,last_discarded,last_retained,last_resource,last_resource_generated,last_revenue,last_input_cost,last_wages_paid,last_wages_due,last_expected_revenue,last_operating_cost,last_margin_gap_q16,planned_utilization_q16,last_base_wages_due,last_base_wages_paid,last_bonus_due,last_bonus_paid,owner_living_cost_per_day,owner_livelihood_required,viability_operating_cost,viability_income_gap,construction_ready_days
1,1,5,1645,12,27,-39,0,0,30,9,1,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010240,0,65536,65536,0,0,0,0,12530,62650,62650,-62650,
1,1,5,1645,12,27,-39,0,1,65,9,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,19635,19635,0,0,980,0,78540,0,0,0,78540,0,9676,65536,0,0,0,0,12530,62650,62650,15890,
1,1,5,1645,12,27,-39,0,2,69,9,24,48,48,48,48,0,0,0,0,65536,65536,0,0,0,0,0,840000,782800,0,57200,0,0,3914000,0,0,0,4200000,0,22065,65536,0,0,0,0,12530,3007200,3007200,906800,
1,1,5,1645,12,27,-39,0,3,79,2,1,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,0,-57856,65536,0,0,0,0,16930,84650,84650,-84650,
1,1,5,1645,12,27,-39,0,4,90,2,1,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,0,-61199,65536,0,0,0,0,16930,84650,84650,-84650,
1,1,5,1645,12,27,-39,0,5,106,20,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65536,65536,0,0,0,0,18656,93280,93280,-93280,
1,1,5,1645,12,27,-39,0,6,238,12,24,48,48,48,48,0,0,0,0,32768,65536,0,0,0,0,0,227760,128880,0,98880,42900,0,1345920,0,0,0,4669440,0,9798,65536,0,0,0,0,15310,3674400,3674400,-2328480,
1,1,5,1645,12,27,-39,0,7,242,20,1,1,1,1,1,0,2,2,0,65536,65536,36864,0,0,0,0,12500,12500,0,0,2500,0,625000,0,441250,441250,625000,441250,7291,65536,400000,400000,41250,41250,18656,93280,493280,131720,
1,1,5,1645,12,27,-39,0,8,251,9,3,3,3,3,2,1,0,0,0,0,43690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271200,0,13079,65536,0,0,0,0,12530,125300,125300,-125300,
2,2,10,1645,12,27,-39,0,0,30,9,1,1,1,1,1,0,0,0,0,65536,65536,65536,0,0,0,52500,63140,63140,0,0,0,0,1266698,378560,0,0,1266710,378560,65536,65536,0,0,0,0,13019,65095,443655,823043,
2,2,10,1645,12,27,-39,0,1,65,9,1,1,1,1,1,0,0,0,0,61380,61380,0,0,0,0,0,18389,8435,9954,0,917,0,30017,0,0,0,65537,0,-1882,61380,0,0,0,0,13019,65095,65095,-35078,
2,2,10,1645,12,27,-39,0,2,69,9,24,48,48,48,48,0,0,0,0,65536,65536,0,0,0,0,0,840000,781700,0,58300,0,0,4128153,0,0,0,4406640,0,21767,65536,0,0,0,0,13019,3124560,3124560,1003593,
