epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_opportunity,merchant_procurement_allocated,merchant_procurement_unspent_allocated,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative,trade_unresolved_no_attempt,trade_unresolved_no_spread,trade_unresolved_margin,trade_unresolved_route,trade_unresolved_stock,trade_unresolved_capacity,trade_unresolved_cash,trade_unresolved_order_cap
1,2,2,false,trade_planning,65535,2,2,7372,2400,120,260,13270,0,23149,504,78,0,0,0,227236613,0,30855977,0,30855977,1427163452,0,171675000,2218500,81000,2137500,64800000,106875000,0,0,0,114738750,0,0,8117480,-8117480,0,7260167312,1255488452,1255488452,0,1037166939,1255488452,236842343,0,27625300,ACTIVE,true,1,899199540207663769,605298422684457999,SCAN,0,8445,0,0,1,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14378074112,0,0,0,0,0,0,0,0,0,118,0,0,0,27405862,88800,27317062,236843000,1,0,0,0,0,0,0,0,0,0,0,0
2,3,3,false,trade_planning,65535,3,3,7440,2400,120,260,13270,0,23432,450,68,0,0,0,231715886,0,31129864,0,31129864,1432083644,0,154100000,1927000,77000,1850000,61600000,92500000,0,0,0,102650000,0,0,8010450,-8010450,0,7755199082,1277983644,1277983644,0,1107885759,1277983644,240998319,0,28279800,ACTIVE,true,1,899199540207663769,605298422684457999,SCAN,0,12577,0,0,2,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14378074112,0,0,0,0,0,0,0,0,0,114,0,0,0,28052346,88500,27963846,240999000,2,0,0,0,0,0,0,0,0,0,0,0
3,4,4,false,trade_planning,65535,4,4,7511,2400,120,260,13270,0,24411,477,73,0,0,0,239647801,0,32702724,0,32702724,1496015984,0,162800000,2078500,78500,2000000,62800000,100000000,0,0,0,108672500,0,0,8697420,-8697420,0,8013674143,1333215984,1333215984,0,1144810776,1333215984,247259292,0,28913900,ACTIVE,true,1,899199540207663769,605298422684457999,SCAN,4096,12577,0,480,2,0,0,initial_topology_capture,480,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14428405760,0,0,0,0,0,0,0,0,0,146,0,0,0,28677428,92100,28585328,247260000,3,0,0,0,0,0,0,0,0,0,0,0
4,5,5,false,trade_planning,65535,5,5,7585,2400,120,260,13270,0,24528,500,75,0,0,0,243214132,0,32566163,0,32566163,1511069768,0,170950000,2159000,84000,2075000,67200000,103750000,0,0,0,113987500,0,0,8387130,-8387130,0,7769364032,1340119768,1340119768,0,1109909329,1340119768,251218304,0,29496300,ACTIVE,true,1,899199540207663769,605298422684457999,SCAN,8192,12577,0,1054,2,0,0,initial_topology_capture,1054,4439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14424211456,0,0,0,0,0,0,0,0,0,153,0,0,0,29263836,92100,29171736,251219000,4,0,0,0,0,0,0,0,0,0,0,0
5,6,6,false,trade_planning,65535,6,6,7585,2400,120,260,13270,0,24307,512,68,0,0,10785100,258239082,2808512,32361059,2191,32361059,1994722423,11234,174350000,2257000,82000,2175000,65600000,108750000,0,0,0,116547500,0,0,8070896,-8070896,0,4188203347,1820420730,1820420730,59541,598314918,1820361189,306630360,1653218,28130782,ACTIVE,true,1,899199540207663769,605298422684457999,SCAN,0,21200,0,0,3,0,0,initial_topology_capture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13140754432,0,0,0,0,0,0,0,0,0,162,0,0,0,29784000,15359396,14424604,306647859,5,0,0,0,0,0,0,0,0,0,0,0
6,7,7,false,trade_planning,65535,7,7,7585,2400,120,260,13270,0,23149,504,78,0,0,10255374,241454899,2793584,31089535,2135,31089535,1890339853,10969,171675000,2218500,81000,2137500,64800000,106875000,0,0,0,114738750,0,0,8099462,-8099462,0,3943109995,1718712003,1718712003,58119,563301580,1718653884,287856350,1931465,25693835,ACTIVE,true,1,899199540207663769,605298422684457999,SCAN,4096,21200,0,576,3,0,0,initial_topology_capture,576,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13140754432,0,0,0,0,0,0,0,0,0,172,0,0,0,27625300,14428964,13196336,287873478,6,0,0,0,0,0,0,0,0,0,0,0
7,8,8,false,trade_planning,65535,8,8,7585,2400,120,260,13270,0,23432,450,68,0,0,10478714,246301082,2820210,31374653,2137,31374653,1905973510,11042,154100000,1927000,77000,1850000,61600000,92500000,0,0,0,102650000,0,0,7992180,-7992180,0,4112783682,1751920969,1751920969,58501,587540679,1751862468,292989545,1938833,26340887,ACTIVE,true,1,899199540207663769,605298422684457999,SCAN,8192,21200,0,1251,3,0,0,initial_topology_capture,1251,4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13140754432,0,0,0,0,0,0,0,0,0,159,0,0,0,28279758,14758201,13521557,293002397,7,0,0,0,0,0,0,0,0,0,0,0
8,9,9,false,trade_planning,65535,9,9,7585,2400,120,260,13270,0,24411,477,73,0,0,11072000,254848705,2911576,32952342,2217,32952342,1989024106,11380,162800000,2078500,78500,2000000,62800000,100000000,0,0,0,108672500,0,0,8678583,-8678583,0,4264574073,1826273077,1826273077,60351,609225013,1826212726,300946340,2526392,26387508,ACTIVE,true,1,899199540207663769,605298422684457999,SCAN,0,21210,0,0,4,0,0,initial_topology_capture,0,0,0,28863,0,164,84,37,16,16,0,0,56,0,47,0,0,0,37,37,0,0,13140754432,1564286632,0,0,0,0,0,0,0,0,162,0,0,0,28913900,15355223,13558677,300963450,8,5,0,0,0,0,0,0,0,0,0,0
9,10,10,false,trade_planning,65535,10,10,7585,2400,120,260,13270,0,24528,500,75,0,0,10946292,258465537,2926984,32814816,2250,32814816,2006677319,11540,170950000,2159000,84000,2075000,67200000,103750000,0,0,0,113987500,0,0,8368167,-8368167,0,4197368094,1835776992,1835776992,61213,599624167,1835715779,305132666,2042746,27453474,ACTIVE,true,1,899199540207663769,605298422684457999,SCAN,0,21213,0,0,5,0,0,initial_topology_capture,0,0,0,53087,0,328,162,74,31,16,15,0,116,0,88,0,0,0,74,37,0,0,13140754432,830636535,0,0,0,0,0,0,0,0,146,0,0,0,29496258,15407306,14088952,305146821,9,6,0,0,0,0,0,0,0,0,0,0
10,11,11,false,trade_planning,65535,11,11,7585,2400,120,260,13270,0,24307,512,68,0,0,12742390,292791073,2916558,32360616,17405890,32360616,2580027517,25992920,174350000,2257000,82000,2175000,65600000,108750000,0,0,0,116547500,0,0,14100951,-14100951,0,3386301825,2507755255,2379746891,62294,483757551,2379684597,348235073,4221187,25553023,ACTIVE,true,1,899199540207663769,605298422684457999,SCAN,0,21225,0,0,6,0,0,initial_topology_capture,0,0,0,76201,0,480,242,112,31,16,15,0,164,0,130,0,0,0,108,38,4,0,13140754432,805131955,0,0,0,0,0,0,0,0,154,0,0,0,29779050,16928692,12850358,347760797,10,7,0,0,0,0,0,0,0,0,0,0
