epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,resource_id,opening_reserve,natural_net_change,artificial_change_applied,artificial_change_pending,reserve
1,1,5,1645,12,27,-39,timber,7.077794e+06,0,0,0,7.077794e+06
1,1,5,1645,12,27,-39,stone,217449.03,0,0,0,217449.03
1,1,5,1645,12,27,-39,fertile_soil,349990.22,0,0,0,349990.22
1,1,5,1645,12,27,-39,coal,4.3674934e+08,0,0,0,4.3674934e+08
1,1,5,1645,12,27,-39,oil,1.7684328e+07,0,0,0,1.7684328e+07
1,1,5,1645,12,27,-39,natural_gas,1.9022496e+07,0,0,0,1.9022496e+07
1,1,5,1645,12,27,-39,copper_ore,0,0,0,0,0
1,1,5,1645,12,27,-39,iron_ore,5.0677228e+07,0,0,0,5.0677228e+07
1,1,5,1645,12,27,-39,gold_ore,0,0,0,0,0
1,1,5,1645,12,27,-39,silver_ore,483943.5,0,0,-2.5,483943.5
1,1,5,1645,12,27,-39,salt,0,0,0,0,0
1,1,5,1645,12,27,-39,saltpeter,0,0,0,0,0
1,1,5,1645,12,27,-39,rare_earth,0,0,0,0,0
1,1,5,1645,12,27,-39,clay,2.9669998e+07,0,0,0,2.9669998e+07
1,1,5,1645,12,27,-39,wild_game,26415.424,0,0,-42.9,26415.424
1,1,5,1645,12,27,-39,marine_fish,0,0,0,0,0
1,1,5,1645,12,27,-39,arable_land,125000,0,0,0,125000
1,1,5,1645,12,27,-39,paddy_land,60000,0,0,0,60000
1,1,5,1645,12,27,-39,plantation_land,140000,0,0,0,140000
1,1,5,1645,12,27,-39,pasture,125000,0,0,0,125000
1,1,5,1645,12,27,-39,bauxite,0,0,0,0,0
1,1,5,1645,12,27,-39,limestone,0,0,0,0,0
1,1,5,1645,12,27,-39,silica_sand,0,0,0,0,0
1,1,5,1645,12,27,-39,phosphate_rock,0,0,0,0,0
1,1,5,1645,12,27,-39,tin_ore,0,0,0,0,0
1,1,5,1645,12,27,-39,lead_ore,0,0,0,0,0
1,1,5,1645,12,27,-39,zinc_ore,0,0,0,0,0
1,1,5,1645,12,27,-39,manganese_ore,0,0,0,0,0
1,1,5,1645,12,27,-39,sulfur,0,0,0,0,0
1,1,5,1645,12,27,-39,flint,88739.59,0,0,-0.98,88739.59
2,2,10,1645,12,27,-39,timber,7.077794e+06,442.5,0,0,7.0782365e+06
