epoch_row_id,epoch_id,day_index,cell_idx,q,r,s,is_construction,group_index,type_id,owner_signature_id,count,owner_capacity,owner_required,planned_owner_equivalent,filled_owner,owner_openings,employee_required,employee_filled,wage_suspended,capacity_q16,purchase_intent_capacity_q16,realized_profit_margin_q16,severe_loss_cycles,recovery_cycles,operating_state,last_input,last_output,last_sold,last_discarded,last_retained,last_resource,last_resource_generated,last_revenue,last_input_cost,last_wages_paid,last_wages_due,last_expected_revenue,last_operating_cost,last_margin_gap_q16,planned_utilization_q16,last_base_wages_due,last_base_wages_paid,last_bonus_due,last_bonus_paid,owner_living_cost_per_day,owner_livelihood_required,viability_operating_cost,viability_income_gap,construction_ready_days,funded_capacity_q16,owner_working_capital_allocated,investment_score_q16,investment_payback_days,investment_rejection_reason
1,2,2,1196,47,19,-66,0,0,30,9,2,2,2,2,2,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020480,0,65536,65536,0,0,0,0,12513,125130,125130,-125130,,0,700000,0,0,0
1,2,2,1196,47,19,-66,0,1,65,9,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,19635,19635,0,0,980,0,78540,0,0,0,78540,0,9676,65536,0,0,0,0,12513,62565,62565,15975,,65536,0,0,0,0
1,2,2,1196,47,19,-66,0,2,69,9,24,48,48,48,48,0,0,0,0,65536,65536,0,0,0,0,0,840000,781700,0,58300,0,0,3908500,0,0,0,4200000,0,22065,65536,0,0,0,0,12513,3003120,3003120,905380,,65536,0,0,0,0
1,2,2,1196,47,19,-66,0,3,79,2,1,1,1,1,1,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,-56157,65536,0,0,0,0,16932,84660,84660,-84660,,0,3000,0,0,0
1,2,2,1196,47,19,-66,0,4,90,2,3,3,3,3,3,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,-8793,65536,0,0,0,0,16932,253980,253980,-253980,,0,6000,0,0,0
1,2,2,1196,47,19,-66,0,5,106,20,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65536,65536,0,0,0,0,18641,93205,93205,-93205,,65536,0,0,0,0
1,2,2,1196,47,19,-66,0,6,238,12,12,24,24,24,24,0,0,0,0,32768,65536,0,0,0,0,0,113880,64440,0,49440,21450,0,672960,0,0,0,2334720,0,18911,65536,0,0,0,0,13402,1608240,1608240,-935280,,32768,45000,0,0,0
1,2,2,1196,47,19,-66,0,7,242,20,1,1,1,1,1,0,2,2,0,65536,65536,36864,0,0,0,0,12500,12500,0,0,2500,0,625000,0,441250,441250,625000,441250,7291,65536,400000,400000,41250,41250,18641,93205,493205,131795,,65536,0,0,0,0
1,2,2,1196,47,19,-66,0,8,251,9,3,3,3,3,3,0,0,0,0,0,43690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271200,0,-25495,65536,0,0,0,0,12513,187695,187695,-187695,,0,150000,0,0,0
2,3,3,1196,47,19,-66,0,0,30,9,2,2,2,2,2,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020480,0,65536,65536,0,0,0,0,12513,125130,125130,-125130,,0,700000,0,0,0
2,3,3,1196,47,19,-66,0,1,65,9,1,1,1,1,1,0,0,0,0,65536,65536,0,0,0,0,0,19635,19635,0,0,980,0,78540,0,0,0,78540,0,9676,65536,0,0,0,0,12513,62565,62565,15975,,65536,0,0,0,0
2,3,3,1196,47,19,-66,0,2,69,9,24,48,48,48,48,0,0,0,0,65536,65536,0,0,0,0,0,840000,781700,0,58300,0,0,3908500,0,0,0,4200000,0,22065,65536,0,0,0,0,12513,3003120,3003120,905380,,65536,0,0,0,0
