stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,3,0,0.4,0.133333,0.138,7200
1,PASS_B,0,3,0,0.251,0.083667,0.084,7200
2,OCEAN_WATER,0,3,0,0.212,0.070667,0.073,7200
3,OCEAN_LAND,0,3,0,0.052,0.017333,0.018,7200
4,WIND_AIR,0,3,0,0.274,0.091333,0.092,7200
5,WIND_SURFACE,0,3,0,0.249,0.083,0.083,7200
6,SEA_ICE,0,3,0,0.148,0.049333,0.056,7200
7,TRANSPIRATION,0,3,0,0.048,0.016,0.016,7200
8,ALBEDO,1,1,0,0.0032,0.0032,0.0032,2400
9,VEGETATION_DYNAMICS,1,1,0,0.4123,0.4123,0.4123,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0121,0.0121,0.0121,2400
11,WEATHER,3,3,0,0.1055,0.035167,0.0408,57600
12,RUNTIME_HYDROLOGY,3,3,0,0.4215,0.1405,0.1521,79200
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
