stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,3,0,0.514,0.171333,0.229,7200
1,PASS_B,0,3,0,0.277,0.092333,0.105,7200
2,OCEAN_WATER,0,3,0,0.217,0.072333,0.076,7200
3,OCEAN_LAND,0,3,0,0.193,0.064333,0.159,7200
4,WIND_AIR,0,3,0,0.297,0.099,0.109,7200
5,WIND_SURFACE,0,3,0,0.26,0.086667,0.09,7200
6,SEA_ICE,0,3,0,0.161,0.053667,0.059,7200
7,TRANSPIRATION,0,3,0,0.049,0.016333,0.018,7200
8,ALBEDO,1,1,0,0.0032,0.0032,0.0032,2400
9,VEGETATION_DYNAMICS,1,1,0,0.4237,0.4237,0.4237,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0552,0.0552,0.0552,2400
11,WEATHER,3,3,0,0.106,0.035333,0.0411,57600
12,RUNTIME_HYDROLOGY,3,3,0,0.4285,0.142833,0.1598,79200
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
