stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,3,0,0.463,0.154333,0.189,7200
1,PASS_B,0,3,0,0.34,0.113333,0.173,7200
2,OCEAN_WATER,0,3,0,0.268,0.089333,0.115,7200
3,OCEAN_LAND,0,3,0,0.067,0.022333,0.026,7200
4,WIND_AIR,0,3,0,0.347,0.115667,0.163,7200
5,WIND_SURFACE,0,3,0,0.351,0.117,0.14,7200
6,SEA_ICE,0,3,0,0.203,0.067667,0.076,7200
7,TRANSPIRATION,0,3,0,0.071,0.023667,0.029,7200
8,ALBEDO,1,1,0,0.0032,0.0032,0.0032,2400
9,VEGETATION_DYNAMICS,1,1,0,0.4087,0.4087,0.4087,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0093,0.0093,0.0093,2400
11,WEATHER,3,3,0,0.1568,0.052267,0.0572,57600
12,RUNTIME_HYDROLOGY,3,3,0,0.5128,0.170933,0.1897,79200
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
