stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,3,0,0.536,0.178667,0.209,7200
1,PASS_B,0,3,0,0.131,0.043667,0.046,7200
2,OCEAN_WATER,0,0,0,0.0,0.0,0.0,7200
3,OCEAN_LAND,0,0,0,0.0,0.0,0.0,7200
4,WIND_AIR,0,3,0,0.006,0.002,0.002,7200
5,WIND_SURFACE,0,3,0,0.056,0.018667,0.019,7200
6,SEA_ICE,0,3,0,0.095,0.031667,0.036,7200
7,TRANSPIRATION,0,3,0,0.011,0.003667,0.004,7200
8,ALBEDO,1,1,0,0.0033,0.0033,0.0033,2400
9,VEGETATION_DYNAMICS,1,1,0,0.5127,0.5127,0.5127,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0138,0.0138,0.0138,2400
11,WEATHER,3,0,3,0.0,0.0,0.0,0
12,RUNTIME_HYDROLOGY,3,0,3,0.0,0.0,0.0,0
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
