stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,1,0,0.139,0.139,0.139,2400
1,PASS_B,0,1,0,0.082,0.082,0.082,2400
2,OCEAN_WATER,0,1,0,0.073,0.073,0.073,2400
3,OCEAN_LAND,0,1,0,0.017,0.017,0.017,2400
4,WIND_AIR,0,1,0,0.091,0.091,0.091,2400
5,WIND_SURFACE,0,1,0,0.083,0.083,0.083,2400
6,SEA_ICE,0,1,0,0.058,0.058,0.058,2400
7,TRANSPIRATION,0,1,0,0.016,0.016,0.016,2400
8,ALBEDO,1,1,0,0.0029,0.0029,0.0029,2400
9,VEGETATION_DYNAMICS,1,1,0,0.4025,0.4025,0.4025,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0097,0.0097,0.0097,2400
11,WEATHER,1,1,0,0.0389,0.0389,0.0389,19200
12,RUNTIME_HYDROLOGY,1,1,0,0.1439,0.1439,0.1439,26400
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
