day,cell,merchant_cash,merchant_inventory_liquidation_value,merchant_economic_assets,merchant_operating_outflow,merchant_liquidity_coverage_q16,merchant_population,merchant_income,merchant_expense,population
1,539,2717993,3573270,6291263,102038,1745686,2,673938,355945,20
2,539,2873626,3414976,6288602,54929,3428534,2,340853,185220,20
3,539,3027632,3258274,6285906,57180,3470075,2,343390,189384,20
4,539,3182794,3100344,6283138,56589,3686009,2,346154,190992,20
5,539,3460348,2800439,6260787,56083,4043602,2,497072,219518,20
6,539,4764604,2636753,7401357,70988,4398674,3,373425,242936,20
7,539,4905664,2468038,7373702,66693,4820559,3,376507,235447,20
8,539,5154252,2291687,7445939,66049,5114219,3,553602,305014,20
9,539,5403714,2091999,7495713,65883,5375253,3,580411,330949,20
10,539,6767853,1942424,8710277,66457,6674060,4,527304,315465,20
11,539,7051100,1861469,8912569,67886,6807013,4,624829,341582,20
12,539,7333665,1781264,9114929,70024,6863633,4,627405,344840,20
13,539,7615467,1701832,9317299,72121,6920137,4,629844,348042,20
14,539,7896396,1623219,9519615,74158,6978319,4,632169,351240,20
15,539,8182785,1539178,9721963,69804,7682468,4,634454,348065,20
16,539,8468169,1456173,9924342,71883,7720461,4,636683,351299,20
17,539,8752516,1374217,10126733,73916,7760226,4,638851,354504,20
18,539,9027919,1308840,10336759,75893,7795892,4,625899,350496,20
19,539,8943606,1184816,10128422,77770,7536687,3,584594,275318,20
20,539,10183531,1199738,11383269,97101,6873130,4,437259,300843,20
21,539,10419367,1214789,11634156,100161,6817460,4,598432,362596,20
22,539,10751213,1229501,11980714,103172,6829289,4,766391,434545,20
23,539,12166526,1243607,13410133,106119,7513691,5,768737,448347,20
24,539,12095356,1255494,13350850,108771,7287615,5,108751,179921,20
25,539,12120413,1265452,13385865,111837,7102509,5,276507,251450,20
26,539,12143802,1275331,13419133,114364,6958974,5,278656,255267,20
27,539,12165739,1286204,13451943,116811,6825503,5,280750,258813,20
28,539,12186301,1298137,13484438,119202,6699899,5,282800,262238,20
29,539,12304450,1230737,13535187,120934,6667971,5,534320,416171,20
30,539,12517459,1247509,13764968,124151,6607632,5,616455,403446,20
31,539,12827004,1262936,14089940,126753,6632036,5,784116,474571,20
32,539,13234158,1276666,14510824,129283,6708645,5,953386,546232,20
33,539,13639978,1290530,14930508,131742,6785304,5,955462,549642,20
34,539,15427928,1304322,16732250,133051,7599226,6,199407,229329,20
35,539,15429836,1320561,16750397,136656,7399673,6,295417,293509,20
36,539,15430358,1337860,16768218,138948,7277858,6,297348,296826,20
37,539,15429635,1356147,16785782,141214,7160738,6,299245,299968,20
38,539,15427551,1375404,16802955,143452,7048071,6,301119,303203,20
39,539,15524007,1271289,16795296,144066,7061911,6,597795,501339,20
40,539,15716465,1292195,17008660,148218,6949184,6,637670,445212,20
41,539,16004265,1311340,17315605,150569,6965945,6,803561,515761,20
42,539,16290746,1331515,17622261,152844,6985098,6,805461,518980,20
43,539,16575847,1352692,17928539,155092,7004324,6,807340,522239,20
44,539,18652031,1372559,20024590,155063,7883115,7,218189,268953,20
45,539,18632048,1396229,20028277,159873,7637749,7,314190,334173,20
46,539,18610634,1420883,20031517,162078,7525182,7,316011,337425,20
47,539,18587943,1446451,20034394,164247,7416753,7,317806,340497,20
48,539,18563743,1473139,20036882,166401,7311214,7,319429,343629,20
49,539,18639286,1335015,19974301,165527,7379728,7,658066,582523,20
50,539,18808018,1361696,20169714,171099,7204029,7,654283,485551,20
51,539,18974995,1389027,20364022,173305,7175472,7,655313,488336,20
52,539,19140344,1418062,20558406,175450,7149510,7,656335,490986,20
53,539,19304020,1448754,20752774,177581,7124119,7,657399,493723,20
54,539,19469949,1477045,20946994,175821,7257281,7,658506,492577,20
55,539,19629954,1511496,21141450,182253,7058696,7,659592,499587,20
56,539,19788321,1547347,21335668,184303,7036496,7,660744,502377,20
57,539,19945210,1584550,21529760,186298,7016335,7,661887,504998,20
58,539,20100541,1623090,21723631,188253,6997546,7,663054,507723,20
59,539,20259344,1456927,21716271,185351,7163254,7,875824,717021,20
60,539,23219675,1492762,24712437,192621,7900097,8,573878,464593,20
61,539,23265987,1529742,24795729,194502,7839301,8,505406,459094,20
62,539,23310890,1567771,24878661,196340,7780902,8,506688,461785,20
63,539,23354379,1606746,24961125,198147,7724328,8,508047,464558,20
64,539,23402343,1640613,25042956,193990,7906056,8,509359,461395,20
65,539,23442414,1682125,25124539,202255,7595965,8,510742,470671,20
66,539,23481157,1724513,25205670,203955,7545101,8,512057,473314,20
67,539,23518636,1767472,25286108,205598,7496752,8,513542,476063,20
68,539,23554884,1811041,25365925,207178,7451046,8,514956,478708,20
69,539,23597029,1847914,25444943,201646,7669157,8,516435,474290,20
70,539,23630271,1894044,25524315,210961,7340851,8,517948,484706,20
71,539,23662218,1940593,25602811,212469,7298604,8,519469,487522,20
72,539,23693152,1987515,25680667,213949,7257591,8,520967,490033,20
73,539,23722906,2034818,25757724,215413,7217319,8,522498,492744,20
74,539,23759945,2074009,25833954,208470,7469332,8,524009,486970,20
75,539,23786598,2123285,25909883,219214,7111217,8,525559,498906,20
76,539,23812162,2172971,25985133,220703,7070832,8,527045,501481,20
77,539,23836526,2223110,26059636,222198,7030443,8,528534,504170,20
78,539,23859695,2273709,26133404,223788,6987278,8,530013,506844,20
79,539,22814421,819212,23633633,215421,6940669,5,1906471,599798,20
80,539,28261974,904775,29166749,324750,5703392,7,531474,766697,20
81,539,30920504,989358,31909862,328032,6177464,8,425251,594075,20
82,539,32905708,1072155,33977863,331115,6512868,9,430243,611981,20
83,539,32633897,1156249,33790146,320686,6669125,9,252970,524781,20
84,539,28750706,1243138,29993844,309804,6081930,8,236765,493968,20
85,539,28489621,1333406,29823027,313886,5948324,8,237970,499055,20
86,539,28226793,1425245,29652038,315982,5854355,8,239188,502016,20
87,539,27962080,1518673,29480753,318045,5761835,8,240382,505095,20
88,539,27695617,1613574,29309191,320088,5670502,8,241581,508044,20
89,539,27427414,1709989,29137403,322101,5580494,8,242736,510939,20
90,539,27155269,1811054,28966323,326235,5455109,8,243870,516015,20
91,539,26881423,1913705,28795128,328292,5366262,8,245025,518871,20
92,539,26605819,2017815,28623634,330320,5278635,8,246203,521807,20
93,539,26328479,2123366,28451845,332329,5192033,8,247349,524689,20
94,539,26049342,2230377,28279719,334311,5106531,8,248460,527597,20
95,539,25766250,2341106,28107356,338618,4986790,8,249593,532685,20
96,539,25481477,2453143,27934620,340564,4903495,8,250690,535463,20
97,539,25194968,2566515,27761483,342478,4821265,8,251798,538307,20
98,539,24906748,2681067,27587815,344365,4739995,8,252926,541146,20
99,539,24247479,1288076,25535555,346223,4589766,7,1810394,475811,20
100,539,23922958,1404546,25327504,399262,3926782,7,303333,627854,20
101,539,20199928,1523657,21723585,386184,3427957,6,285159,590624,20
102,539,19893054,1643574,21536628,387618,3363391,6,285692,592566,20
103,539,19584864,1764752,21349616,388899,3300377,6,286369,594559,20
104,539,19275619,1887042,21162661,389954,3239476,6,286934,596179,20
105,539,18962810,2012873,20975683,393511,3158099,6,287579,600388,20
106,539,18649092,2139557,20788649,394337,3099346,6,288161,601879,20
107,539,18334576,2266860,20601436,395054,3041545,6,288914,603430,20
108,539,18019178,2394800,20413978,395709,2984275,6,289538,604936,20
109,539,17703059,2523242,20226301,396294,2927593,6,290270,606389,20
110,539,17383278,2656904,20040182,399724,2850042,6,291011,610792,20
111,539,17062690,2791372,19854062,400389,2792835,6,291688,612276,20
112,539,16741356,2926629,19667985,401069,2735592,6,292366,613700,20
113,539,16419133,3062700,19481833,401766,2678286,6,293075,615298,20
114,539,16096001,3199583,19295584,402500,2620788,6,293779,616911,21
115,539,15874723,3330027,19204750,406218,2561102,6,469357,690635,21
116,539,15602252,3451473,19053725,407158,2511332,7,386172,658643,21
117,539,15267451,3585735,18853186,408435,2449759,7,305297,640098,21
118,539,14931331,3721409,18652740,409962,2386903,7,306045,642165,21
119,539,13159287,343384,13502671,412865,2088835,3,3771728,287490,21
120,539,12672851,731620,13404471,604984,1372809,3,228378,714814,21
